                 pdb     free_param_best         sp_cor_best                nres      sp_cor_dist_Bf     sp_cor_wcn_dist       sp_cor_wcn_bf
              1NDI_A               9.600              -0.264                 596              0.4976             -0.7688             -0.5292
              1NLU_A               7.600              -0.410                 368              0.7377             -0.9364             -0.7878
              1O8A_A               8.200              -0.424                 574              0.6149             -0.8389             -0.6978
              1O98_A               7.600              -0.610                 509              0.5696             -0.6898             -0.7558
              1OG1_A              17.800              -0.613                 223              0.4884             -0.9747             -0.5957
              1OGO_X              17.800              -0.478                 572              0.6703             -0.9565             -0.7446
              1OJ4_A               8.000              -0.569                 277              0.5950             -0.7894             -0.7504
              1ONR_A               4.800              -0.239                 316              0.7286             -0.7732             -0.6670
              1OPM_A              11.000              -0.406                 310              0.5256             -0.8317             -0.6289
              1OXA_A              10.200              -0.407                 403              0.7425             -0.8748             -0.7816
              1OYG_A               6.000              -0.551                 440              0.3787             -0.8081             -0.6063
              1P1X_A              11.200              -0.413                 250              0.7536             -0.9269             -0.8004
              1P3D_A               7.800              -0.286                 449              0.4804             -0.7662             -0.5295
              1P5D_X               7.800              -0.580                 454              0.3361             -0.7412             -0.6159
              1PA9_A               8.200              -0.467                 279              0.7062             -0.9026             -0.7798
              1PII_A               6.600              -0.582                 452              0.3673             -0.4782             -0.6507
              1PKN_A               5.400              -0.346                 514              0.3500             -0.6094             -0.4700
              1PMI_A               7.800              -0.673                 440              0.4780             -0.6421             -0.7600
              1PP4_A               7.600              -0.556                 233              0.6762             -0.8775             -0.7897
              1PS9_A              39.200              -0.488                 671              0.6429             -0.9878             -0.6933
              1PTD_A              14.000              -0.265                 296              0.6999             -0.9649             -0.7249
              1PUD_A               9.000              -0.403                 372              0.3225             -0.8472             -0.4756
              1PYL_A               5.600              -0.365                  95              0.6454             -0.8664             -0.6984
              1Q91_A               4.800              -0.206                 194              0.7608             -0.6945             -0.6244
              1QAM_A               9.800              -0.572                 235              0.5565             -0.6642             -0.7247
              1QAZ_A               8.600              -0.541                 351              0.6925             -0.9017             -0.7932
              1QBA_A               7.000              -0.497                 858              0.6519             -0.6499             -0.7102
              1QFM_A               7.800              -0.654                 705              0.5277             -0.7168             -0.7654
              1QGX_A               6.600              -0.514                 354              0.7445             -0.8054             -0.8031
              1QJE_A               7.400              -0.475                 327              0.6362             -0.8537             -0.7339
              1QK2_A              10.600              -0.396                 363              0.6318             -0.9521             -0.6954
              1QWN_A               8.400              -0.703                1014              0.7291             -0.7296             -0.8610
              1R1J_A               5.600              -0.529                 696              0.6009             -0.4663             -0.6542
              1R44_A               3.200              -0.402                 202              0.7426             -0.6105             -0.6666
              1R4Z_A              10.800              -0.509                 179              0.6521             -0.9832             -0.7116
              1RBN_A               6.400              -0.577                 124              0.6094             -0.7473             -0.7593
              1RDD_A              50.000               0.154                 155              0.5590             -0.9994             -0.5543
              1RU4_A               9.800              -0.543                 400              0.6272             -0.7775             -0.7539
              1S3I_A              36.600              -0.463                 307              0.5966             -0.9848             -0.6521
              1S95_A              11.800              -0.332                 324              0.2787             -0.9303             -0.3764
              1SCA_A              10.600              -0.312                 274              0.7014             -0.9713             -0.7341
              1SLL_A               6.400              -0.617                 679              0.4819             -0.5354             -0.7146
              1SML_A              42.600               0.195                 266              0.7662             -0.9981             -0.7571
              1SNZ_A               7.000              -0.487                 344              0.6172             -0.8396             -0.7262
              1TAH_B              12.000              -0.419                 318              0.4550             -0.9351             -0.5576
              1TLP_E               6.800              -0.599                 316              0.4364             -0.6690             -0.6925
              1U3F_A               2.400              -0.256                 164              0.6964             -0.4972             -0.5057
              1U5U_A              50.000               0.218                 366              0.6631             -0.9996             -0.6583
              1UAS_A               7.600              -0.530                 362              0.7192             -0.6965             -0.7651
              1UN1_A              13.400              -0.343                 267              0.6732             -0.9405             -0.7193
              1VID_A              10.200              -0.308                 213              0.6663             -0.9152             -0.7025
              1VLB_A               8.600              -0.461                 907              0.8188             -0.8381             -0.8306
              1VNC_A               6.000              -0.404                 576              0.6634             -0.7547             -0.6990
              1VQ1_A               6.400              -0.250                 263              0.0556             -0.6324             -0.2284
              1W0H_A               7.200              -0.524                 194              0.3727             -0.8170             -0.5849
              1XQW_A               4.400              -0.258                 290              0.7466             -0.8131             -0.7069
              1Y9M_A               8.200              -0.525                 517              0.6112             -0.7324             -0.7308
              1YON_A              10.000              -0.559                 292              0.3518             -0.7901             -0.5985
              1YSC_A               6.800              -0.314                 421              0.4506             -0.8587             -0.5305
              1ZE1_A               6.000              -0.259                 308              0.4089             -0.4848             -0.4048
              1ZIO_A               3.800              -0.549                 217              0.5779             -0.5627             -0.6959
              206L_A              14.400              -0.632                 162              0.5412             -0.8779             -0.7295
              2A0N_A               5.400              -0.425                 251              0.3059             -0.8323             -0.4790
              2ABK_A               6.600              -0.455                 211              0.5012             -0.5099             -0.5945
              2ACY_A              12.600              -0.563                  98              0.6079             -0.9456             -0.7201
              2AYH_A               6.400              -0.351                 214              0.5408             -0.8111             -0.6114
              2CPO_A               9.200              -0.379                 298              0.7757             -0.9214             -0.8078
              2CPU_A               8.000              -0.578                 495              0.5142             -0.6803             -0.7129
              2DLN_A              20.600              -0.109                 306              0.7792             -0.9683             -0.7716
              2EBN_A               9.200              -0.520                 285              0.6804             -0.8295             -0.7773
              2ENG_A              11.600              -0.615                 205              0.7116             -0.9528             -0.8093
              2F61_A               7.400              -0.328                 497              0.3323             -0.7131             -0.4540
              2F9R_A               6.200              -0.438                 285              0.6064             -0.8766             -0.6993
              2NLR_A               4.400              -0.199                 222              0.7507             -0.7544             -0.6527
              2NMT_A              12.200              -0.077                 422              0.5028             -0.9058             -0.4835
              2PEC_A               7.800              -0.560                 352              0.6285             -0.8342             -0.7645
              2PIA_A               6.800              -0.444                 321              0.5260             -0.7140             -0.6398
              2PTH_A               9.000              -0.396                 193              0.7516             -0.9492             -0.7955
              2SQC_A               6.000              -0.435                 623              0.7046             -0.6681             -0.7006
              2THI_A               7.200              -0.557                 362              0.4839             -0.7244             -0.6863
              2TPS_A              12.200              -0.504                 226              0.7439             -0.9616             -0.8078
              5EAT_A               8.000              -0.396                 532              0.5646             -0.7178             -0.6326
              7ATJ_A               7.000              -0.458                 305              0.6433             -0.7457             -0.7135
