            pdb_name         cutoff_best             sp_best          sp_default             sp_diff                nres
              1U3F_A              14.100              -0.515              -0.463               0.052                 164
              1U5U_A              42.800              -0.159              -0.102               0.056                 366
              1UAS_A              21.300              -0.547              -0.548              -0.002                 362
              1UN1_A              11.400              -0.446              -0.450              -0.003                 267
              1VID_A              11.200              -0.450              -0.434               0.016                 213
              1VLB_A               9.000              -0.293              -0.241               0.052                 907
              1VNC_A               8.300              -0.272              -0.245               0.027                 576
              1VQ1_A              17.900              -0.557              -0.579              -0.021                 263
              1W0H_A              12.100              -0.548              -0.529               0.020                 194
              1XQW_A              12.000              -0.474              -0.440               0.034                 290
              1Y9M_A              24.100              -0.561              -0.555               0.006                 517
              1YON_A              18.700              -0.455              -0.454               0.001                 292
              1YSC_A              18.200              -0.559              -0.572              -0.013                 421
              1ZE1_A              28.300              -0.425              -0.416               0.009                 308
              1ZIO_A              12.100              -0.543              -0.527               0.016                 217
              206L_A              12.800              -0.404              -0.382               0.022                 162
              2A0N_A              35.800              -0.611              -0.482               0.128                 251
              2ABK_A              21.300              -0.468              -0.459               0.009                 211
              2ACY_A               9.300              -0.470              -0.292               0.178                  98
              2AYH_A              11.200              -0.392              -0.388               0.003                 214
              2CPO_A              49.400               0.162              -0.116               0.046                 298
              2CPU_A              12.500              -0.501              -0.504              -0.003                 495
              2DLN_A              23.200              -0.637              -0.649              -0.012                 306
              2EBN_A              30.400              -0.394              -0.337               0.057                 285
              2ENG_A               8.900              -0.433              -0.449              -0.015                 205
              2F61_A              18.700              -0.468              -0.471              -0.003                 497
              2F9R_A              37.800              -0.449              -0.237               0.213                 285
              2NLR_A              16.100              -0.283              -0.288              -0.005                 222
              2NMT_A              16.000              -0.454              -0.428               0.025                 422
              2PEC_A              20.100              -0.418              -0.421              -0.004                 352
              2PIA_A              13.000              -0.570              -0.534               0.036                 321
              2PTH_A              18.000              -0.432              -0.388               0.044                 193
              2SQC_A              13.800              -0.477              -0.474               0.003                 623
              2THI_A              10.500              -0.165              -0.106               0.060                 362
              2TPS_A              33.100              -0.586              -0.526               0.059                 226
              5EAT_A              10.300              -0.316              -0.197               0.120                 532
              7ATJ_A              10.400              -0.577              -0.544               0.033                 305
