            pdb_name            exp_best             sp_best          sp_default             sp_diff                nres
              1L1D_A              -2.700              -0.564              -0.546               0.018                 142
              1L1L_A              -1.000              -0.465              -0.455               0.010                 717
              1L6P_A              -0.800              -0.306              -0.265               0.041                 121
              1L7N_A              -3.000              -0.535              -0.506               0.029                 207
              1L7Q_A              -3.600              -0.284              -0.224               0.060                 571
              1L8T_A              -0.800              -0.556              -0.537               0.019                 263
              1L9X_A              -1.300              -0.585              -0.577               0.008                 288
              1LBA_A              -0.700              -0.561              -0.553               0.007                 146
              1LDM_A              -1.100              -0.488              -0.481               0.006                 329
              1LJL_A              -1.000              -0.545              -0.532               0.013                 130
              1LVH_A              -1.400              -0.602              -0.594               0.008                 220
              1M53_A              -2.700              -0.589              -0.576               0.013                 556
              1MBB_A              -0.500              -0.633              -0.604               0.029                 340
              1MJ9_A               0.400               0.599              -0.529               0.071                 273
              1MLA_A              -2.100              -0.525              -0.525               0.000                 305
              1MRQ_A              -2.300              -0.463              -0.462               0.001                 323
              1MUD_A              -0.900              -0.451              -0.429               0.022                 225
              1MUG_A               0.300               0.488              -0.463               0.025                 165
              1NDH_A              27.300               0.424              -0.405               0.019                 270
              1NDI_A              -3.000              -0.518              -0.498               0.020                 596
              1NLU_A               0.100               0.551              -0.541               0.009                 368
              1O8A_A              -2.400              -0.431              -0.429               0.002                 574
              1O98_A              -0.500              -0.654              -0.630               0.024                 509
              1OG1_A              -1.400              -0.467              -0.462               0.005                 223
              1OGO_X              -1.100              -0.088              -0.086               0.002                 572
              1OJ4_A              -1.900              -0.626              -0.625               0.001                 277
              1ONR_A               0.000               0.733              -0.722               0.011                 316
              1OPM_A              -2.700              -0.372              -0.364               0.008                 310
              1OXA_A              -3.900              -0.321              -0.276               0.046                 403
              1OYG_A              -1.800              -0.456              -0.455               0.001                 440
              1P1X_A              -0.200              -0.551              -0.537               0.014                 250
              1P3D_A              -1.800              -0.564              -0.563               0.001                 449
              1P5D_X              -1.400              -0.586              -0.581               0.005                 454
              1PA9_A              -0.300              -0.536              -0.510               0.026                 279
              1PII_A              -2.900              -0.560              -0.523               0.037                 452
              1PKN_A               3.700               0.474              -0.462               0.012                 514
              1PMI_A              -0.100              -0.597              -0.567               0.029                 440
              1PP4_A              -1.500              -0.412              -0.411               0.001                 233
              1PS9_A              -2.400              -0.572              -0.566               0.006                 671
              1PTD_A              -0.800              -0.571              -0.560               0.011                 296
              1PUD_A              -1.900              -0.447              -0.447               0.000                 372
              1PYL_A              20.100               0.284              -0.243               0.041                  95
              1Q91_A              -1.000              -0.452              -0.436               0.016                 194
              1QAM_A              -1.800              -0.366              -0.362               0.004                 235
              1QAZ_A              30.000              -0.149              -0.019               0.131                 351
              1QBA_A              -2.800              -0.460              -0.440               0.019                 858
              1QFM_A              -2.800              -0.460              -0.447               0.012                 705
              1QGX_A              -1.900              -0.515              -0.515               0.000                 354
              1QJE_A              -2.100              -0.279              -0.279               0.000                 327
              1QK2_A               4.800               0.509              -0.504               0.005                 363
              1QWN_A              -2.500              -0.501              -0.496               0.004                1014
              1R1J_A              -2.700              -0.393              -0.378               0.014                 696
              1R44_A              -1.500              -0.570              -0.563               0.007                 202
              1R4Z_A              -1.800              -0.469              -0.467               0.002                 179
              1RBN_A              -2.100              -0.481              -0.476               0.004                 124
              1RDD_A              -2.700              -0.365              -0.360               0.004                 155
              1RU4_A              -3.700              -0.349              -0.319               0.030                 400
              1S3I_A               0.100               0.480              -0.451               0.029                 307
              1S95_A              -2.300              -0.555              -0.553               0.001                 324
              1SCA_A              -2.300              -0.621              -0.620               0.001                 274
              1SLL_A              -3.700              -0.193              -0.134               0.058                 679
              1SML_A              -1.600              -0.337              -0.335               0.002                 266
              1SNZ_A              -2.500              -0.364              -0.359               0.005                 344
              1TAH_B              -2.000              -0.499              -0.499               0.000                 318
              1TLP_E              -2.800              -0.536              -0.530               0.006                 316
              1U3F_A              -0.700              -0.481              -0.463               0.018                 164
              1U5U_A              11.500               0.138              -0.102               0.035                 366
              1UAS_A              -1.700              -0.550              -0.548               0.002                 362
              1UN1_A              -2.800              -0.458              -0.450               0.008                 267
