            pdb_name        expmean_best             sp_best          sp_default             sp_diff                nres
              1OGO_X               6.800              -0.747              -0.738               0.009                 572
              1OJ4_A               4.000              -0.771              -0.765               0.006                 277
              1ONR_A              30.800              -0.741              -0.710               0.031                 316
              1OPM_A               4.800              -0.669              -0.665               0.004                 310
              1OXA_A               7.800              -0.808              -0.807               0.001                 403
              1OYG_A               1.800              -0.572              -0.470               0.102                 440
              1P1X_A               7.600              -0.798              -0.784               0.014                 250
              1P3D_A               9.000              -0.512              -0.503               0.009                 449
              1P5D_X               3.000              -0.669              -0.613               0.057                 454
              1PA9_A               5.000              -0.862              -0.862               0.000                 279
              1PII_A               4.400              -0.550              -0.540               0.010                 452
              1PKN_A              36.000              -0.244              -0.227               0.017                 514
              1PMI_A               5.000              -0.716              -0.695               0.021                 440
              1PP4_A               4.400              -0.782              -0.778               0.004                 233
              1PS9_A              10.600              -0.759              -0.736               0.022                 671
              1PTD_A              10.600              -0.697              -0.688               0.009                 296
              1PUD_A               2.600              -0.495              -0.428               0.067                 372
              1PYL_A               6.600              -0.800              -0.802              -0.002                  95
              1Q91_A              25.000              -0.729              -0.691               0.037                 194
              1QAM_A               5.600              -0.726              -0.730              -0.004                 235
              1QAZ_A               4.000              -0.811              -0.808               0.003                 351
              1QBA_A               5.800              -0.771              -0.777              -0.006                 858
              1QFM_A               4.000              -0.781              -0.750               0.031                 705
              1QGX_A               7.000              -0.844              -0.843               0.002                 354
              1QJE_A               4.400              -0.709              -0.698               0.010                 327
              1QK2_A               4.800              -0.713              -0.707               0.006                 363
              1QWN_A               6.400              -0.903              -0.908              -0.005                1014
              1R1J_A               8.600              -0.743              -0.764              -0.021                 696
              1R44_A               7.600              -0.748              -0.745               0.003                 202
              1R4Z_A               2.800              -0.695              -0.682               0.012                 179
              1RBN_A               7.200              -0.780              -0.762               0.018                 124
              1RDD_A              34.400              -0.479              -0.457               0.022                 155
              1RU4_A               8.200              -0.800              -0.785               0.014                 400
              1S3I_A              13.600              -0.714              -0.668               0.046                 307
              1S95_A               3.600              -0.251              -0.238               0.013                 324
              1SCA_A               5.200              -0.693              -0.686               0.007                 274
              1SLL_A               5.400              -0.758              -0.742               0.016                 679
              1SML_A              49.600              -0.690              -0.668               0.021                 266
              1SNZ_A               5.200              -0.705              -0.703               0.002                 344
              1TAH_B               8.600              -0.335              -0.336              -0.001                 318
              1TLP_E               4.600              -0.550              -0.545               0.005                 316
              1U3F_A              34.200              -0.700              -0.622               0.078                 164
              1U5U_A              49.600              -0.618              -0.623              -0.005                 366
              1UAS_A               8.200              -0.816              -0.810               0.006                 362
              1UN1_A               5.800              -0.760              -0.758               0.002                 267
              1VID_A              23.200              -0.694              -0.667               0.028                 213
              1VLB_A               7.000              -0.838              -0.842              -0.003                 907
              1VNC_A               9.200              -0.664              -0.668              -0.004                 576
              1VQ1_A               5.400              -0.266              -0.249               0.017                 263
              1W0H_A               2.800              -0.461              -0.428               0.033                 194
              1XQW_A              14.600              -0.795              -0.783               0.013                 290
              1Y9M_A               6.000              -0.714              -0.711               0.003                 517
              1YON_A               4.800              -0.510              -0.487               0.023                 292
              1YSC_A               2.000              -0.445              -0.404               0.042                 421
              1ZE1_A              49.600              -0.348              -0.338               0.010                 308
              1ZIO_A               4.400              -0.686              -0.685               0.001                 217
              206L_A               7.600              -0.458              -0.438               0.020                 162
              2A0N_A               2.400              -0.386              -0.345               0.041                 251
              2ABK_A              10.000              -0.588              -0.581               0.007                 211
              2ACY_A               5.200              -0.592              -0.561               0.030                  98
              2AYH_A               9.800              -0.720              -0.707               0.013                 214
              2CPO_A               6.400              -0.828              -0.831              -0.003                 298
              2CPU_A               6.800              -0.553              -0.555              -0.002                 495
              2DLN_A              38.600              -0.812              -0.746               0.065                 306
              2EBN_A               5.600              -0.819              -0.822              -0.003                 285
              2ENG_A               4.000              -0.825              -0.816               0.009                 205
              2F61_A               3.600              -0.443              -0.427               0.016                 497
              2F9R_A               3.400              -0.743              -0.733               0.010                 285
              2NLR_A              28.200              -0.765              -0.729               0.036                 222
              2NMT_A              44.600              -0.468              -0.437               0.031                 422
              2PEC_A               3.800              -0.768              -0.767               0.001                 352
              2PIA_A               6.200              -0.629              -0.639              -0.010                 321
              2PTH_A               6.200              -0.850              -0.843               0.008                 193
              2SQC_A              49.400              -0.752              -0.726               0.026                 623
              2THI_A               4.000              -0.640              -0.625               0.016                 362
              2TPS_A               4.200              -0.757              -0.752               0.005                 226
              5EAT_A               6.800              -0.646              -0.654              -0.007                 532
              7ATJ_A              15.200              -0.611              -0.596               0.015                 305
