"pdb","vvolume","variable","value"
"1A26_A","vvolumeCA","r4s_JC",0.628822044666362
"1A26_A","vvolumeCA","rsa",0.867146354682178
"1A26_A","vvolumeCA","seqent",0.535898268398268
"1A26_A","vvolumeCB","ddgent",0.766794316794317
"1A26_A","vvolumeCB","hbe",0.371099029118287
"1A26_A","vvolumeCB","hpshh",0.43722760824995
"1A26_A","vvolumeCB","r4s_JC",0.639663634206758
"1A26_A","vvolumeCB","rsa",0.898179536702888
"1A26_A","vvolumeCB","seqent",0.541908924408924
"1A26_A","vvolumeN","ddgent",0.623401043401043
"1A26_A","vvolumeN","hbe",0.476504225803327
"1A26_A","vvolumeN","hpshh",0.292146241036884
"1A26_A","vvolumeN","r4s_JC",0.546426963166799
"1A26_A","vvolumeN","rsa",0.760034887884551
"1A26_A","vvolumeN","seqent",0.454052891552892
"1A26_A","vvolumeO","ddgent",0.546763514263514
"1A26_A","vvolumeO","hbe",0.507454275438829
"1A26_A","vvolumeO","hpshh",0.316233704993979
"1A26_A","vvolumeO","r4s_JC",0.500184296071262
"1A26_A","vvolumeO","rsa",0.732286756788853
"1A26_A","vvolumeO","seqent",0.421693029193029
"1A26_A","vvolumeSC","ddgent",0.788680763680764
"1A26_A","vvolumeSC","hbe",0.275231411008872
"1A26_A","vvolumeSC","hpshh",0.508645806801413
"1A26_A","vvolumeSC","r4s_JC",0.667581313496395
"1A26_A","vvolumeSC","rsa",0.932071217224158
"1A26_A","vvolumeSC","seqent",0.553474303474303
"1A2T_A","vvolumeAA","ddgent",0.761253880971085
"1A2T_A","vvolumeAA","hbe",0.380105210018677
"1A2T_A","vvolumeAA","hpshh",0.417408902681615
"1A2T_A","vvolumeAA","r4s_JC",0.586675179041063
"1A2T_A","vvolumeAA","rsa",0.94323857131693
"1A2T_A","vvolumeAA","seqent",0.486082086017761
"1A2T_A","vvolumeC","ddgent",0.628075163031958
"1A2T_A","vvolumeC","hbe",0.457318134401179
"1A2T_A","vvolumeC","hpshh",0.350874630303404
"1A2T_A","vvolumeC","r4s_JC",0.481238240062627
"1A2T_A","vvolumeC","rsa",0.794924326839164
"1A2T_A","vvolumeC","seqent",0.411175728316415
"1A2T_A","vvolumeCA","ddgent",0.742874599433908
"1A2T_A","vvolumeCA","hbe",0.403780713695681
"1A2T_A","vvolumeCA","hpshh",0.380674536854716
"1A2T_A","vvolumeCA","r4s_JC",0.512418685391215
"1A2T_A","vvolumeCA","rsa",0.883165800311324
"1A2T_A","vvolumeCA","seqent",0.416886536956961
"1A2T_A","vvolumeCB","ddgent",0.758695245576628
"1A2T_A","vvolumeCB","hbe",0.351565389391913
"1A2T_A","vvolumeCB","hpshh",0.407408866858719
"1A2T_A","vvolumeCB","r4s_JC",0.584610281917807
"1A2T_A","vvolumeCB","rsa",0.907886088674877
"1A2T_A","vvolumeCB","seqent",0.483593270723759
"1A2T_A","vvolumeN","ddgent",0.623945435728625
"1A2T_A","vvolumeN","hbe",0.492785241268701
"1A2T_A","vvolumeN","hpshh",0.246284666043617
"1A2T_A","vvolumeN","r4s_JC",0.41044817998926
"1A2T_A","vvolumeN","rsa",0.784322075374873
"1A2T_A","vvolumeN","seqent",0.311131837385068
"1A2T_A","vvolumeO","ddgent",0.471604384094565
"1A2T_A","vvolumeO","hbe",0.526221807624888
"1A2T_A","vvolumeO","hpshh",0.243204074427504
"1A2T_A","vvolumeO","r4s_JC",0.344817868886928
"1A2T_A","vvolumeO","rsa",0.651870036724008
"1A2T_A","vvolumeO","seqent",0.272470411029441
"1A2T_A","vvolumeSC","ddgent",0.785648200102246
"1A2T_A","vvolumeSC","hbe",0.288182092275802
"1A2T_A","vvolumeSC","hpshh",0.452238857281981
"1A2T_A","vvolumeSC","r4s_JC",0.622364481856182
"1A2T_A","vvolumeSC","rsa",0.935707953543517
"1A2T_A","vvolumeSC","seqent",0.523284637677004
"1A4L_A","vvolumeAA","ddgent",0.77963585856098
"1A4L_A","vvolumeAA","hbe",0.287837634174057
"1A4L_A","vvolumeAA","hpshh",0.447586520575622
"1A4L_A","vvolumeAA","r4s_JC",0.655686505324523
"1A4L_A","vvolumeAA","rsa",0.92141540295332
"1A4L_A","vvolumeAA","seqent",0.52608508809241
"1A4L_A","vvolumeC","ddgent",0.709510934231175
"1A4L_A","vvolumeC","hbe",0.380259963116099
"1A4L_A","vvolumeC","hpshh",0.375733019628848
"1A4L_A","vvolumeC","r4s_JC",0.628071851417963
"1A4L_A","vvolumeC","rsa",0.854139736113141
"1A4L_A","vvolumeC","seqent",0.482811087000294
