"pdb","varea","variable","value"
"1A4L_A","vareaN","hbe",0.397576174349517
"1A4L_A","vareaN","hpshh",0.332896927681351
"1A4L_A","vareaN","r4s_JC",0.511340785946298
"1A4L_A","vareaN","rsa",0.757222577572908
"1A4L_A","vareaN","seqent",0.365809790843496
"1A4L_A","vareaO","ddgent",0.689162858518554
"1A4L_A","vareaO","hbe",0.405656184911741
"1A4L_A","vareaO","hpshh",0.378462879330884
"1A4L_A","vareaO","r4s_JC",0.567413975110599
"1A4L_A","vareaO","rsa",0.823300799780752
"1A4L_A","vareaO","seqent",0.43482780232435
"1A4L_A","vareaSC","ddgent",0.792245529382654
"1A4L_A","vareaSC","hbe",0.230396414683335
"1A4L_A","vareaSC","hpshh",0.445079499471418
"1A4L_A","vareaSC","r4s_JC",0.701437177615049
"1A4L_A","vareaSC","rsa",0.932323732601227
"1A4L_A","vareaSC","seqent",0.579428332369104
"1A65_A","vareaAA","ddgent",0.73662832059974
"1A65_A","vareaAA","hbe",0.399082998972489
"1A65_A","vareaAA","hpshh",0.209067348488041
"1A65_A","vareaAA","r4s_JC",0.594292824876973
"1A65_A","vareaAA","rsa",0.902898333971312
"1A65_A","vareaAA","seqent",0.486743936546066
"1A65_A","vareaC","ddgent",0.599568079500367
"1A65_A","vareaC","hbe",0.478308599219306
"1A65_A","vareaC","hpshh",0.152297085989391
"1A65_A","vareaC","r4s_JC",0.529313988742467
"1A65_A","vareaC","rsa",0.809865463874858
"1A65_A","vareaC","seqent",0.409567081980312
"1A65_A","vareaCA","ddgent",0.683022625281377
"1A65_A","vareaCA","hbe",0.40803502926171
"1A65_A","vareaCA","hpshh",0.176246388473102
"1A65_A","vareaCA","r4s_JC",0.565659362975146
"1A65_A","vareaCA","rsa",0.840683136051054
"1A65_A","vareaCA","seqent",0.437910042422432
"1A65_A","vareaCB","ddgent",0.744613694541848
"1A65_A","vareaCB","hbe",0.408597850741382
"1A65_A","vareaCB","hpshh",0.168568601866542
"1A65_A","vareaCB","r4s_JC",0.598062767723505
"1A65_A","vareaCB","rsa",0.875201351800438
"1A65_A","vareaCB","seqent",0.479060941802825
"1A65_A","vareaN","ddgent",0.65362676964209
"1A65_A","vareaN","hbe",0.471294328704851
"1A65_A","vareaN","hpshh",0.180497105437993
"1A65_A","vareaN","r4s_JC",0.550085641539454
"1A65_A","vareaN","rsa",0.803416654710852
"1A65_A","vareaN","seqent",0.44017970184515
"1A65_A","vareaO","ddgent",0.488928381619758
"1A65_A","vareaO","hbe",0.49238596149602
"1A65_A","vareaO","hpshh",0.118001299941169
"1A65_A","vareaO","r4s_JC",0.427571554808476
"1A65_A","vareaO","rsa",0.707841176550095
"1A65_A","vareaO","seqent",0.341399033545936
"1A65_A","vareaSC","ddgent",0.769139149075373
"1A65_A","vareaSC","hbe",0.333949386687214
"1A65_A","vareaSC","hpshh",0.199230411338349
"1A65_A","vareaSC","r4s_JC",0.619023068805377
"1A65_A","vareaSC","rsa",0.89502818455456
"1A65_A","vareaSC","seqent",0.500441566111912
"1A8H_A","vareaAA","ddgent",0.753924921793885
"1A8H_A","vareaAA","hbe",0.427936559291022
"1A8H_A","vareaAA","hpshh",0.536957328683956
"1A8H_A","vareaAA","r4s_JC",0.333685342671483
"1A8H_A","vareaAA","rsa",0.92742013926921
"1A8H_A","vareaAA","seqent",0.290598580374208
"1A8H_A","vareaC","ddgent",0.649759303037212
"1A8H_A","vareaC","hbe",0.540746336425016
"1A8H_A","vareaC","hpshh",0.452248079382721
"1A8H_A","vareaC","r4s_JC",0.301624286175683
"1A8H_A","vareaC","rsa",0.81679998726488
"1A8H_A","vareaC","seqent",0.266390157188572
"1A8H_A","vareaCA","ddgent",0.701386869547478
"1A8H_A","vareaCA","hbe",0.483292125494938
"1A8H_A","vareaCA","hpshh",0.469594991183355
"1A8H_A","vareaCA","r4s_JC",0.305670789686488
"1A8H_A","vareaCA","rsa",0.852063934347216
"1A8H_A","vareaCA","seqent",0.265312012750991
"1A8H_A","vareaCB","ddgent",0.756755379021516
"1A8H_A","vareaCB","hbe",0.452587270452312
"1A8H_A","vareaCB","hpshh",0.51131840783687
"1A8H_A","vareaCB","r4s_JC",0.326465062900762
"1A8H_A","vareaCB","rsa",0.892286995757772
"1A8H_A","vareaCB","seqent",0.283242375226588
"1A8H_A","vareaN","ddgent",0.606473017892072
"1A8H_A","vareaN","hbe",0.493037952699012
"1A8H_A","vareaN","hpshh",0.375881331401529
"1A8H_A","vareaN","r4s_JC",0.276067164163313
"1A8H_A","vareaN","rsa",0.751632416258894
"1A8H_A","vareaN","seqent",0.230672931980174
"1A8H_A","vareaO","ddgent",0.600711938847755
"1A8H_A","vareaO","hbe",0.554850068283812
"1A8H_A","vareaO","hpshh",0.382749580220153
"1A8H_A","vareaO","r4s_JC",0.239958099875359
"1A8H_A","vareaO","rsa",0.749612132560546
"1A8H_A","vareaO","seqent",0.205063244861335
"1A8H_A","vareaSC","ddgent",0.772339235893086
"1A8H_A","vareaSC","hbe",0.35006881286599
"1A8H_A","vareaSC","hpshh",0.545780240000499
"1A8H_A","vareaSC","r4s_JC",0.352474392036248
"1A8H_A","vareaSC","rsa",0.919045866863749
"1A8H_A","vareaSC","seqent",0.301698638613963
"1A8S_A","vareaAA","ddgent",0.741086468276249
"1A8S_A","vareaAA","hbe",0.37929278353325
"1A8S_A","vareaAA","hpshh",0.316966419650498
"1A8S_A","vareaAA","r4s_JC",0.451568362587309
"1A8S_A","vareaAA","rsa",0.933949404827888
"1A8S_A","vareaAA","seqent",0.387720074036314
"1A8S_A","vareaC","ddgent",0.655891553701773
"1A8S_A","vareaC","hbe",0.405842543926974
"1A8S_A","vareaC","hpshh",0.259614648951872
"1A8S_A","vareaC","r4s_JC",0.4303476057532
"1A8S_A","vareaC","rsa",0.837553042074975
"1A8S_A","vareaC","seqent",0.364397525843457
"1A8S_A","vareaCA","ddgent",0.696869736103313
"1A8S_A","vareaCA","hbe",0.376361753225483
"1A8S_A","vareaCA","hpshh",0.251704488091198
"1A8S_A","vareaCA","r4s_JC",0.469366359626311
"1A8S_A","vareaCA","rsa",0.854317652582297
"1A8S_A","vareaCA","seqent",0.407025520410341
"1A8S_A","vareaCB","ddgent",0.760405116566559
"1A8S_A","vareaCB","hbe",0.372307510337262
"1A8S_A","vareaCB","hpshh",0.294292340027105
"1A8S_A","vareaCB","r4s_JC",0.484836018858803
"1A8S_A","vareaCB","rsa",0.911836988114975
"1A8S_A","vareaCB","seqent",0.421719306763734
"1A8S_A","vareaN","ddgent",0.661217378585348
"1A8S_A","vareaN","hbe",0.449765229156882
"1A8S_A","vareaN","hpshh",0.264928595320599
"1A8S_A","vareaN","r4s_JC",0.433306172551796
"1A8S_A","vareaN","rsa",0.820182713071537
"1A8S_A","vareaN","seqent",0.367561719765653
"1A8S_A","vareaO","ddgent",0.612305899338961
"1A8S_A","vareaO","hbe",0.419660890294919
"1A8S_A","vareaO","hpshh",0.267034305332175
"1A8S_A","vareaO","r4s_JC",0.393830008680218
"1A8S_A","vareaO","rsa",0.790295186242951
"1A8S_A","vareaO","seqent",0.336187567670301
"1A8S_A","vareaSC","ddgent",0.758478854764814
"1A8S_A","vareaSC","hbe",0.338353926681461
"1A8S_A","vareaSC","hpshh",0.327762544485197
"1A8S_A","vareaSC","r4s_JC",0.501271812942989
"1A8S_A","vareaSC","rsa",0.926095442036222
"1A8S_A","vareaSC","seqent",0.412389225775517
"1AF7_A","vareaAA","ddgent",0.76957582563422
"1AF7_A","vareaAA","hbe",0.477444822535446
"1AF7_A","vareaAA","hpshh",0.463375826943245
"1AF7_A","vareaAA","r4s_JC",0.64852677907368
"1AF7_A","vareaAA","rsa",0.924077894255819
"1AF7_A","vareaAA","seqent",0.605465177589757
"1AF7_A","vareaC","ddgent",0.642995836280508
"1AF7_A","vareaC","hbe",0.527356827158529
"1AF7_A","vareaC","hpshh",0.312531328683772
"1AF7_A","vareaC","r4s_JC",0.585918308126791
"1AF7_A","vareaC","rsa",0.80187508289061
"1AF7_A","vareaC","seqent",0.551732214779496
"1AF7_A","vareaCA","ddgent",0.734242983294078
"1AF7_A","vareaCA","hbe",0.489076554643969
"1AF7_A","vareaCA","hpshh",0.400877048156655
"1AF7_A","vareaCA","r4s_JC",0.628328945598014
"1AF7_A","vareaCA","rsa",0.855365634532082
"1AF7_A","vareaCA","seqent",0.592708575817133
"1AF7_A","vareaCB","ddgent",0.766764038880827
"1AF7_A","vareaCB","hbe",0.488135396686053
"1AF7_A","vareaCB","hpshh",0.415359617379597
"1AF7_A","vareaCB","r4s_JC",0.659773919820133
"1AF7_A","vareaCB","rsa",0.895370930117792
"1AF7_A","vareaCB","seqent",0.62347883871547
"1AF7_A","vareaN","ddgent",0.651987136950641
"1AF7_A","vareaN","hbe",0.542693967581833
"1AF7_A","vareaN","hpshh",0.326282750429788
"1AF7_A","vareaN","r4s_JC",0.579321233973869
"1AF7_A","vareaN","rsa",0.779146959125132
"1AF7_A","vareaN","seqent",0.543269233030035
"1AF7_A","vareaO","ddgent",0.55052480366349
"1AF7_A","vareaO","hbe",0.588532386164501
"1AF7_A","vareaO","hpshh",0.239807306202881
"1AF7_A","vareaO","r4s_JC",0.456100886348862
"1AF7_A","vareaO","rsa",0.732308619646433
"1AF7_A","vareaO","seqent",0.421535479730638
"1AF7_A","vareaSC","ddgent",0.788433464345873
"1AF7_A","vareaSC","hbe",0.428079833154488
"1AF7_A","vareaSC","hpshh",0.489061330266632
"1AF7_A","vareaSC","r4s_JC",0.658129682874472
"1AF7_A","vareaSC","rsa",0.933049952573111
"1AF7_A","vareaSC","seqent",0.615476137699471
"1AGM_A","vareaAA","ddgent",0.758115738462548
"1AGM_A","vareaAA","hbe",0.484675832171485
"1AGM_A","vareaAA","hpshh",0.300336915228734
"1AGM_A","vareaAA","r4s_JC",0.58418245808995
"1AGM_A","vareaAA","rsa",0.934890289949417
"1AGM_A","vareaAA","seqent",0.366514516278598
"1AGM_A","vareaC","ddgent",0.646287659709921
"1AGM_A","vareaC","hbe",0.556570726235788
"1AGM_A","vareaC","hpshh",0.254958289756156
"1AGM_A","vareaC","r4s_JC",0.508445896211018
"1AGM_A","vareaC","rsa",0.849463075492514
"1AGM_A","vareaC","seqent",0.278588135350369
"1AGM_A","vareaCA","ddgent",0.724146889624446
"1AGM_A","vareaCA","hbe",0.51038958646401
"1AGM_A","vareaCA","hpshh",0.27143919468287
"1AGM_A","vareaCA","r4s_JC",0.550765430250755
"1AGM_A","vareaCA","rsa",0.890701146945301
"1AGM_A","vareaCA","seqent",0.321948599181593
"1AGM_A","vareaCB","ddgent",0.752879613496597
"1AGM_A","vareaCB","hbe",0.482873232978508
"1AGM_A","vareaCB","hpshh",0.277102428465599
"1AGM_A","vareaCB","r4s_JC",0.577251529365125
"1AGM_A","vareaCB","rsa",0.906970553741803
"1AGM_A","vareaCB","seqent",0.36325846259975
"1AGM_A","vareaN","ddgent",0.61286888308347
"1AGM_A","vareaN","hbe",0.553616854590316
"1AGM_A","vareaN","hpshh",0.218924329996994
"1AGM_A","vareaN","r4s_JC",0.483931991426244
"1AGM_A","vareaN","rsa",0.805931090985814
"1AGM_A","vareaN","seqent",0.242044236402461
"1AGM_A","vareaO","ddgent",0.579264269518379
"1AGM_A","vareaO","hbe",0.564373864436101
"1AGM_A","vareaO","hpshh",0.23892349883784
"1AGM_A","vareaO","r4s_JC",0.465904864279936
"1AGM_A","vareaO","rsa",0.79361773522105
"1AGM_A","vareaO","seqent",0.251543642685984
"1AGM_A","vareaSC","ddgent",0.768613113165322
"1AGM_A","vareaSC","hbe",0.420501046999438
"1AGM_A","vareaSC","hpshh",0.320451520642525
"1AGM_A","vareaSC","r4s_JC",0.588756855473191
"1AGM_A","vareaSC","rsa",0.920945117617632
"1AGM_A","vareaSC","seqent",0.378510843309716
"1AGY_A","vareaAA","ddgent",0.775318710779189
"1AGY_A","vareaAA","hbe",0.501676059963957
"1AGY_A","vareaAA","hpshh",0.309652076509578
"1AGY_A","vareaAA","r4s_JC",0.66936721539286
"1AGY_A","vareaAA","rsa",0.934393088798429
"1AGY_A","vareaAA","seqent",0.507156681008383
"1AGY_A","vareaC","ddgent",0.65722541900932
"1AGY_A","vareaC","hbe",0.560802197871619
"1AGY_A","vareaC","hpshh",0.192662708753569
"1AGY_A","vareaC","r4s_JC",0.564976606643572
"1AGY_A","vareaC","rsa",0.838388778664539
"1AGY_A","vareaC","seqent",0.44685974035406
"1AGY_A","vareaCA","ddgent",0.730065076330486
"1AGY_A","vareaCA","hbe",0.509838806514721
"1AGY_A","vareaCA","hpshh",0.270240895918865
"1AGY_A","vareaCA","r4s_JC",0.655195809423624
"1AGY_A","vareaCA","rsa",0.888107843714874
"1AGY_A","vareaCA","seqent",0.505439517060034
"1AGY_A","vareaCB","ddgent",0.773033348087735
"1AGY_A","vareaCB","hbe",0.503443163492113
"1AGY_A","vareaCB","hpshh",0.294777897401544
"1AGY_A","vareaCB","r4s_JC",0.657478051687485
"1AGY_A","vareaCB","rsa",0.926061918068836
"1AGY_A","vareaCB","seqent",0.50168498674518
"1AGY_A","vareaN","ddgent",0.667490715714066
"1AGY_A","vareaN","hbe",0.519676023001316
"1AGY_A","vareaN","hpshh",0.269921190443834
"1AGY_A","vareaN","r4s_JC",0.605581369452249
"1AGY_A","vareaN","rsa",0.831733929961419
"1AGY_A","vareaN","seqent",0.452537054797551
"1AGY_A","vareaO","ddgent",0.591404537215881
"1AGY_A","vareaO","hbe",0.583495694381282
"1AGY_A","vareaO","hpshh",0.189767322549914
"1AGY_A","vareaO","r4s_JC",0.54028418167001
"1AGY_A","vareaO","rsa",0.800755781607655
"1AGY_A","vareaO","seqent",0.424023509773338
"1AGY_A","vareaSC","ddgent",0.769179937780373
"1AGY_A","vareaSC","hbe",0.467135505483571
"1AGY_A","vareaSC","hpshh",0.339928814956546
"1AGY_A","vareaSC","r4s_JC",0.691281606979444
"1AGY_A","vareaSC","rsa",0.932640319552131
"1AGY_A","vareaSC","seqent",0.527439306731022
"1AH7_A","vareaAA","ddgent",0.7842781254845
"1AH7_A","vareaAA","hbe",0.431210927292621
"1AH7_A","vareaAA","hpshh",0.38369081347038
"1AH7_A","vareaAA","r4s_JC",0.667028563983641
"1AH7_A","vareaAA","rsa",0.938791438705845
"1AH7_A","vareaAA","seqent",0.45993640089808
"1AH7_A","vareaC","ddgent",0.67987743678039
"1AH7_A","vareaC","hbe",0.505688058142463
"1AH7_A","vareaC","hpshh",0.339709322134766
"1AH7_A","vareaC","r4s_JC",0.628296167462274
"1AH7_A","vareaC","rsa",0.843920002236112
"1AH7_A","vareaC","seqent",0.442325471709808
"1AH7_A","vareaCA","ddgent",0.755124888819982
"1AH7_A","vareaCA","hbe",0.445297599318411
