                 pdb     free_param_best    avg_contribution         sp_cor_best                nres
              1TAH_B              25.800               0.991              -0.539                 318
              1TLP_E              41.400               0.973              -0.681                 316
              1U3F_A              29.600               0.994              -0.571                 164
              1U5U_A              30.000               0.989              -0.365                 366
              1UAS_A              33.400               0.957              -0.670                 362
              1UN1_A              10.200               0.994              -0.586                 267
              1VID_A               9.600               0.995              -0.634                 213
              1VLB_A              10.400               0.833              -0.602                 907
              1VNC_A              10.800               0.936              -0.565                 576
              1VQ1_A              45.400               0.947              -0.704                 263
              1W0H_A              19.800               0.995              -0.712                 194
              1XQW_A               9.600               0.991              -0.699                 290
              1Y9M_A              36.200               0.925              -0.705                 517
              1YON_A              29.000               0.992              -0.696                 292
              1YSC_A              14.600               0.981              -0.726                 421
              1ZE1_A              32.200               0.876              -0.551                 308
              1ZIO_A              15.800               0.995              -0.754                 217
              206L_A              18.400               0.993              -0.622                 162
              2A0N_A              28.000               0.996              -0.599                 251
              2ABK_A              30.400               0.982              -0.636                 211
              2ACY_A              10.000               0.990              -0.545                  98
              2AYH_A              32.600               0.995              -0.613                 214
              2CPO_A              19.600               0.994              -0.432                 298
              2CPU_A              14.800               0.922              -0.697                 495
              2DLN_A              29.200               0.980              -0.770                 306
              2EBN_A              30.400               0.988              -0.493                 285
              2ENG_A              36.000               0.995              -0.607                 205
              2F61_A              28.200               0.933              -0.683                 497
              2F9R_A              32.600               0.996              -0.594                 285
              2NLR_A              14.200               0.995              -0.523                 222
              2NMT_A              18.000               0.955              -0.562                 422
              2PEC_A              21.200               0.981              -0.548                 352
              2PIA_A               9.800               0.974              -0.716                 321
              2PTH_A              18.800               0.995              -0.501                 193
              2SQC_A              19.000               0.901              -0.670                 623
              2THI_A              15.400               0.977              -0.474                 362
              2TPS_A              28.600               0.996              -0.736                 226
              5EAT_A               8.600               0.905              -0.405                 532
              7ATJ_A               9.600               0.984              -0.723                 305
