"variable","mean_diff","median_diff","sd_diff","min_diff","q1_diff","q3_diff","max_diff"
"VAAfree_volume",0.0419483705666392,0.0448898794465472,-0.0115284330963411,-0.445774896421756,-0.067038277962139,0.144432331275986,0.567078508467282
"VAAmodified_volume",-0.0086959065878881,-0.0105210206749133,0.00261334195815389,-0.47379430896614,-0.118226066242988,0.0934855193566774,0.467545974988036
"VAAnfaces",-0.045557763065289,-0.0516956818413242,-0.000861724439576023,-0.0149753833068889,-0.0491183414456047,0.0470405379435527,0.0283786416760228
"VAAvolume",-0.00894774653447261,-0.010517793029135,0.00276287408932717,-0.47634867915606,-0.120312484126319,0.0950105077085745,0.469654476761724
"VCAarea",0.0255887385251156,0.0231319384338359,-0.00321877260491023,-0.432177669917031,-0.0828869480279597,0.126052831486082,0.4902385809171
"VCAeccentricity",0.0227591966749409,0.0232833539723803,-0.00246605661093771,-0.43735864835879,-0.0809254789865969,0.119382050386184,0.482393186391887
"VCAedge_length_total",0.0240223680970052,0.0267093415949463,-0.0019100599030973,-0.423098175869169,-0.0814323390145389,0.127331010840441,0.480021992794515
"VCAfree_volume",0.0670998703323584,0.0736286993746839,-0.0131611743167291,-0.386883628211039,-0.0473085175415655,0.170383190743964,0.524540753220966
"VCAmodified_volume",0.0234569994570879,0.0227215354549641,-0.00265217470293386,-0.433843055057372,-0.0835743251723298,0.128175025232387,0.490812284483425
"VCAnfaces",0.00903240929213538,0.0100166005518611,-0.00236608276094637,0.235589015382734,0.0935029565327702,-0.0727362309129281,-0.258718269297456
"VCAvolume",0.0236072245174584,0.0217462181904776,-0.00251658821326919,-0.427939737720098,-0.0855134114757126,0.129325654961443,0.483957971144575
"VSCarea",0.00402499635605597,-0.0022941974971098,-0.000145266276955186,-0.496959705117698,-0.102266663514483,0.107197008915304,0.497612382460964
"VSCeccentricity",0.0200754328594932,0.0169933717866453,-0.00503375163398299,-0.439036760894765,-0.0840150427764094,0.124521686214652,0.498887854268592
"VSCedge_length_total",-0.00112121743845744,0.0023499160449571,0.00157928465027572,-0.498715169325985,-0.103839172427993,0.100813628085725,0.488354674159361
"VSCfree_volume",0.0515196752632197,0.0578995857810495,-0.013580958476076,-0.465246658250926,-0.0526432930387777,0.156953311898989,0.591071210852878
"VSCmodified_volume",0.00230754077865958,-0.000283784819431532,0.000617647651381226,-0.51481193656691,-0.10974329511795,0.109603573736649,0.511364887920084
"VSCnfaces",-0.0254532454378124,-0.0213608027762554,0.00164751347581318,-0.00200688026142445,-0.0518680185480608,0.0618627297190602,0.0100825816204684
"VSCvolume",0.00214815278287711,-0.00118405223058715,0.000647686042599613,-0.511792664761304,-0.109976479352482,0.111899773512707,0.50789556068145
"wcnAA",0.00237736656642157,-9.5100922067437e-05,-0.0047461700876054,0.456551529737548,0.10512263001342,-0.106195053641091,-0.446043646775114
"wcnC",0.0213864341143152,0.0206883243370312,-0.0065198453592529,0.385178927353912,0.114496525873808,-0.0744629276743308,-0.323587895877062
"wcnCA",0.0221970904837549,0.0224148398932644,-0.00609649023198298,0.433567078007814,0.114251262086046,-0.0762745993097225,-0.367011640751454
"wcnCB",0.0187355756363839,0.0216387660935654,-0.00468300093308539,0.449258896127477,0.118840565780512,-0.090285654333231,-0.410697728130874
"wcnN",0.0237550712789948,0.0209833396613799,-0.00494191667965502,0.436084898956811,0.100968879009317,-0.0588691767338965,-0.408168039748587
"wcnO",0.0207209856226609,0.0173493118315531,-0.00681945220925885,0.357826919099988,0.112174637344865,-0.0737671837553465,-0.326649964871033
"wcnSC",0.0117377309275398,0.00866386406652447,-0.0044956464462873,0.508534913548608,0.128512446715376,-0.0998098792821057,-0.486972959116262
