variable,bfSC,ddgent,rsa,varea,vcompactness,vvolume,wcnSC
median.vnfaces,-0.041030758,-0.122982377,-0.070713028,-0.157430194,0.222492138,-0.165734254,0.108888272
sd.vvolume,0.089707661,0.106467217,0.045457174,0.130612808,-0.219657974,0.14053578,-0.135231873
sum.BSS,-0.045446495,-0.036902371,-0.041425032,-0.123557967,0.186061012,-0.127516698,0.132811294
r.hbe.vnfaces,-0.079195804,-0.112018245,-0.058206267,-0.100649351,0.127498817,-0.105351228,0.074679268
mean.vnfaces,-0.09807298,-0.137241706,-0.078648983,-0.15554577,0.24684526,-0.164045165,0.156350229
r.ddgent.varea,-0.055924339,0.056314738,0.062399443,0.06638756,-0.008881908,0.06225485,0.011616016
r.ddgent.vsphericity,0.010055734,0.06618776,-0.026823177,0.003751512,-0.020487407,0.012697828,0.043819339
r.ddgent.vvolume,-0.056368631,0.059541774,0.053624008,0.067875546,-0.010507913,0.068774646,0.016942268
mean.vnfacescc,-0.113293323,-0.153306612,-0.094106582,-0.168014935,0.262743921,-0.174870582,0.172417113
r.ddgent.vnfaces,-0.034688995,-0.148331931,-0.08910826,-0.06777696,0.106578947,-0.072175193,0.075516589
sum.rsa,-0.142995163,-0.194400337,-0.116547926,-0.170002366,0.257935486,-0.179621694,0.157939429
sum.LSS,-0.115097289,-0.12688788,-0.064312558,-0.141790773,0.243083512,-0.148890894,0.154980093
sum.veccentricity,-0.125095957,-0.15438246,-0.09283874,-0.160501341,0.239154267,-0.16926626,0.145745044
mean.SSS,-0.025075698,0.091017954,0.064041517,0.01637449,0.010233892,0.014197053,0.026494023
sum.hbe,0.098796006,0.123472661,0.078933618,0.145064242,-0.230668168,0.154084832,-0.131375947
r.vsphericity.wcnSC,-0.063830906,-0.105591777,-0.081904937,-0.107882907,0.08455229,-0.121308954,0.030289447
r.varea.vvolume,-0.017496977,-0.03457595,-0.02441243,0.077000631,-0.103814606,0.095069404,-0.088451023
mean.hbdif,-0.000991115,-0.087686713,-0.086832961,-0.017870299,-0.016244293,-0.013238086,-0.034293361
sd.vsphericitym,0.067345812,0.102473842,0.045842316,0.125207687,-0.222293496,0.134794153,-0.126909932
r.rsa.vsphericitym,-0.167705978,-0.222350018,-0.161400442,-0.159669278,0.247093696,-0.169782849,0.166303433
r.hpshh.wcnSC,0.009316999,0.036545034,0.029511278,-0.072315842,0.136471423,-0.078879016,0.093618224
