variable,mean,median,sd,min,q1,q3,max
r.bfSC.wcnCA,-0.642637135,-0.654090727,0.11111033,-0.835571143,-0.721375687,-0.593550766,-0.112992448
r.bfSC.wcnCB,-0.657572826,-0.674312715,0.108916152,-0.852228064,-0.732270595,-0.610980009,-0.158118909
r.bfSC.wcnN,-0.595160525,-0.620664843,0.118779957,-0.81490037,-0.678644202,-0.5286769,-0.079738906
r.bfSC.wcnO,-0.587942279,-0.609947323,0.108722928,-0.796979374,-0.661872887,-0.526852861,-0.112448557
r.bfSC.wcnSC,-0.67838747,-0.69782617,0.106414182,-0.864974134,-0.748730439,-0.632880442,-0.191493169
r.ddgent.hbe_mean,0.317572666,0.318222079,0.066561006,0.163426391,0.273375773,0.356551604,0.515997043
r.ddgent.hpshh,0.407682872,0.413754983,0.082130762,0.137229721,0.35971608,0.460616258,0.613002476
r.ddgent.hpskd,-0.413742602,-0.423006125,0.075172167,-0.617211203,-0.457936416,-0.361206647,-0.167382997
r.ddgent.hpsww,-0.463137018,-0.472747625,0.067611332,-0.643174558,-0.506207317,-0.411659613,-0.260030328
r.ddgent.resvol,0.02379842,0.017031163,0.091366379,-0.184222451,-0.038873019,0.089757248,0.309439014
r.ddgent.rsa,0.801084183,0.80380724,0.027464051,0.725696058,0.783241061,0.821105029,0.863191511
r.ddgent.seqent,0.490214134,0.50308017,0.102979407,0.100270556,0.435961794,0.559167765,0.704389346
r.ddgent.sizeAA,0.149917824,0.145204817,0.096740108,-0.081008123,0.085690541,0.214229305,0.498943553
r.ddgent.sizeSC,0.149917824,0.145204817,0.096740108,-0.081008123,0.085690541,0.214229305,0.498943553
r.ddgent.VAAarea,0.764418751,0.768710675,0.029620623,0.656885701,0.745949016,0.785503106,0.838043808
r.ddgent.VAAeccentricity,0.750170115,0.74988171,0.029710329,0.643362303,0.733741129,0.770523486,0.829633172
r.ddgent.VAAedge_length_total,0.732634037,0.732525146,0.030291857,0.644600163,0.71191444,0.755344135,0.80856497
r.ddgent.VAAfree_volume,0.744752177,0.74782576,0.034865414,0.647439927,0.718770059,0.769028832,0.832602279
r.ddgent.VAAmodified_volume,0.754082282,0.756142398,0.030465992,0.65371531,0.735643579,0.77697529,0.826917912
r.ddgent.VAAnfaces,0.023708765,0.031570286,0.066819743,-0.169410771,-0.012968565,0.070816056,0.199829057
r.ddgent.VAAvolume,0.755934943,0.757479754,0.030166678,0.655855595,0.736961045,0.778561473,0.825309599
r.ddgent.VCAarea,0.719712628,0.723096736,0.033487158,0.619974983,0.698054151,0.743705276,0.799985017
r.ddgent.VCAeccentricity,0.705351688,0.706803054,0.03256528,0.609206371,0.685711868,0.728502733,0.787968968
r.ddgent.VCAedge_length_total,0.692110484,0.693053514,0.034766917,0.574748938,0.670743163,0.715140524,0.783064625
r.ddgent.VCAfree_volume,0.684955917,0.685476937,0.038875775,0.570520347,0.660444343,0.713591098,0.779335162
r.ddgent.VCAmodified_volume,0.711493286,0.715942899,0.034230996,0.609072504,0.688927574,0.736347279,0.793143939
r.ddgent.VCAnfaces,-0.054100331,-0.049715412,0.073464414,-0.275360772,-0.096658876,-0.003735913,0.100577657
r.ddgent.VCAvolume,0.713354127,0.716883012,0.0342309,0.610843093,0.689815844,0.738529419,0.793359153
r.ddgent.VSCarea,0.782937604,0.784044322,0.027654904,0.704286453,0.766294564,0.802357647,0.847104875
r.ddgent.VSCeccentricity,0.723935216,0.723067012,0.032863879,0.628466252,0.702143052,0.747129049,0.818008782
r.ddgent.VSCedge_length_total,0.744235657,0.744900885,0.029036761,0.669686767,0.725346424,0.765260216,0.818385043
r.ddgent.VSCfree_volume,0.751690394,0.753290626,0.034145137,0.64834077,0.72631295,0.775290158,0.833612288
r.ddgent.VSCmodified_volume,0.774544943,0.775143266,0.028214009,0.693964527,0.7582286,0.794756495,0.838458994
r.ddgent.VSCnfaces,0.031319574,0.037459604,0.065364407,-0.159311358,-0.014004869,0.080050268,0.217204307
r.ddgent.VSCvolume,0.776047684,0.777022088,0.028057925,0.694602804,0.759216822,0.796189913,0.837283548
r.ddgent.wcnAA,-0.676879927,-0.677234714,0.05397396,-0.813323642,-0.711030165,-0.640718772,-0.53608725
r.ddgent.wcnC,-0.552343755,-0.547831997,0.055453406,-0.716780539,-0.589628163,-0.521069137,-0.392266862
r.ddgent.wcnCA,-0.618199108,-0.616873246,0.052957506,-0.753398304,-0.656545904,-0.581887048,-0.491865942
r.ddgent.wcnCB,-0.690688312,-0.688945656,0.051400357,-0.807199512,-0.727984155,-0.652002201,-0.555708958
r.ddgent.wcnN,-0.528387854,-0.526952749,0.059342786,-0.691912302,-0.56869288,-0.49233105,-0.357932486
r.ddgent.wcnO,-0.541735953,-0.543103654,0.055627441,-0.711487723,-0.576803877,-0.511473269,-0.367438045
r.ddgent.wcnSC,-0.718102663,-0.718551886,0.051546663,-0.852597084,-0.756378621,-0.683412166,-0.579118216
r.hbe_mean.hpshh,0.202493893,0.199810355,0.058972535,0.042291791,0.163832217,0.242263703,0.444831648
r.hbe_mean.hpskd,-0.167510045,-0.17119069,0.060147374,-0.378475718,-0.208769328,-0.124042844,0.003484067
r.hbe_mean.hpsww,-0.160156495,-0.15626587,0.065035827,-0.424763411,-0.200074084,-0.118311288,0.042324147
r.hbe_mean.resvol,-0.158112751,-0.154211948,0.062170714,-0.344312144,-0.200897525,-0.108622371,-0.022271838
r.hbe_mean.rsa,0.454070315,0.455147336,0.068126474,0.272764815,0.403516609,0.497981653,0.653548198
r.hbe_mean.seqent,0.111214712,0.106662912,0.083019203,-0.128125297,0.060678696,0.166651989,0.329659624
r.hbe_mean.sizeAA,-0.085408328,-0.085478203,0.062446488,-0.28045454,-0.125682851,-0.038755055,0.058470594
r.hbe_mean.sizeSC,-0.085408328,-0.085478203,0.062446488,-0.28045454,-0.125682851,-0.038755055,0.058470594
r.hbe_mean.VAAarea,0.419265603,0.418152238,0.070176093,0.256358742,0.369665728,0.467926631,0.603767114
r.hbe_mean.VAAeccentricity,0.360392171,0.358540438,0.074336345,0.199401742,0.307156484,0.407672047,0.578345724
r.hbe_mean.VAAedge_length_total,0.384547012,0.38203746,0.071232595,0.216612354,0.33255486,0.433689747,0.572131876
r.hbe_mean.VAAfree_volume,0.425350066,0.423531677,0.070154885,0.2653167,0.376003205,0.471733588,0.61489758
r.hbe_mean.VAAmodified_volume,0.398981872,0.396138707,0.07193854,0.231776241,0.348661173,0.444996346,0.583821138
r.hbe_mean.VAAnfaces,0.008377058,0.01900652,0.05818106,-0.166707824,-0.026600135,0.046966942,0.13610772
r.hbe_mean.VAAvolume,0.401030941,0.400322124,0.071601745,0.231735287,0.35003703,0.448003976,0.585606632
r.hbe_mean.VCAarea,0.431464332,0.426146822,0.063883472,0.278488745,0.388790723,0.47595734,0.579951781
r.hbe_mean.VCAeccentricity,0.326228698,0.325186151,0.073378133,0.158865671,0.275560118,0.377863554,0.518597615
r.hbe_mean.VCAedge_length_total,0.393105527,0.392306523,0.063377357,0.239744939,0.341582805,0.436730997,0.544634642
r.hbe_mean.VCAfree_volume,0.429835284,0.430570424,0.062913257,0.270745216,0.385458556,0.469554383,0.589331585
r.hbe_mean.VCAmodified_volume,0.412417632,0.412449756,0.064662122,0.261896491,0.365587088,0.455504208,0.570378206
r.hbe_mean.VCAnfaces,-0.043716928,-0.035539403,0.064799655,-0.239066201,-0.080380757,-0.000506099,0.093387314
r.hbe_mean.VCAvolume,0.414608138,0.412763168,0.064202929,0.268590253,0.367671468,0.460657748,0.56949986
r.hbe_mean.VSCarea,0.361547884,0.36213641,0.072144375,0.192996848,0.310080255,0.409989887,0.564917865
r.hbe_mean.VSCeccentricity,0.350237175,0.34472913,0.0721823,0.156733479,0.302911055,0.397490771,0.590288186
r.hbe_mean.VSCedge_length_total,0.316323191,0.313980787,0.07135596,0.148653622,0.263178474,0.366356436,0.514465315
r.hbe_mean.VSCfree_volume,0.366895911,0.367767725,0.070889922,0.188314347,0.320653481,0.411034079,0.571830688
r.hbe_mean.VSCmodified_volume,0.344743538,0.345415654,0.072972074,0.179066839,0.294832152,0.394966043,0.553327659
r.hbe_mean.VSCnfaces,-0.042493523,-0.03905904,0.058827396,-0.20316476,-0.084252124,-0.00236635,0.1125865
r.hbe_mean.VSCvolume,0.346225297,0.346586858,0.072707809,0.179916411,0.296372256,0.394995753,0.553435241
r.hbe_mean.wcnAA,-0.383953631,-0.380724327,0.102898591,-0.667448808,-0.448292846,-0.309035347,-0.109291243
r.hbe_mean.wcnC,-0.47003047,-0.467206421,0.105223917,-0.776921982,-0.549463907,-0.38991415,-0.132700775
r.hbe_mean.wcnCA,-0.42640517,-0.427686604,0.101666097,-0.724272333,-0.504507781,-0.349464821,-0.125585194
r.hbe_mean.wcnCB,-0.397083981,-0.396153148,0.09874517,-0.645262843,-0.468679659,-0.325365991,-0.123381889
r.hbe_mean.wcnN,-0.470821204,-0.472434965,0.104252963,-0.719727291,-0.546991024,-0.385575658,-0.149269306
r.hbe_mean.wcnO,-0.494145122,-0.491246443,0.105627422,-0.795956532,-0.569452739,-0.422693413,-0.160482589
r.hbe_mean.wcnSC,-0.344313221,-0.339224793,0.094064176,-0.600222782,-0.411713617,-0.277344346,-0.093380017
r.hpshh.hpskd,-0.93793226,-0.939065165,0.012341963,-0.965916053,-0.945157981,-0.932285204,-0.831449229
r.hpshh.hpsww,-0.843950344,-0.856204641,0.042358854,-0.917292563,-0.872786215,-0.826613207,-0.658252744
r.hpshh.resvol,-0.083564882,-0.090026545,0.066301654,-0.252412498,-0.124319835,-0.046734805,0.210196591
r.hpshh.rsa,0.469717595,0.479320732,0.078321082,0.188443642,0.420736987,0.526075612,0.65116646
r.hpshh.seqent,0.150688541,0.152024351,0.078384728,-0.069262166,0.099315044,0.203672128,0.364528579
r.hpshh.sizeAA,0.226824707,0.226973623,0.063815583,0.045974535,0.183960795,0.264446227,0.429481767
r.hpshh.sizeSC,0.226824707,0.226973623,0.063815583,0.045974535,0.183960795,0.264446227,0.429481767
r.hpshh.VAAarea,0.416784972,0.432025286,0.082431999,0.124162506,0.358246097,0.474804398,0.583155217
r.hpshh.VAAeccentricity,0.417440208,0.425961483,0.083629503,0.113419561,0.373196431,0.478908829,0.575373808
r.hpshh.VAAedge_length_total,0.396205752,0.410394209,0.080857386,0.116392885,0.342411586,0.453099808,0.577098615
r.hpshh.VAAfree_volume,0.462780424,0.482952474,0.080338372,0.165387197,0.416574523,0.514376404,0.639451607
r.hpshh.VAAmodified_volume,0.401123547,0.414086334,0.082844286,0.102787289,0.346591374,0.459704562,0.580727942
r.hpshh.VAAnfaces,0.000203289,-0.000841433,0.071185419,-0.231605895,-0.043633413,0.051317654,0.206857277
r.hpshh.VAAvolume,0.402884389,0.415998613,0.083370389,0.102914637,0.347647524,0.461541983,0.583646888
r.hpshh.VCAarea,0.356725873,0.36990951,0.08021879,0.079372139,0.304009687,0.411254538,0.519630744
r.hpshh.VCAeccentricity,0.348113791,0.359070944,0.079988731,0.080044558,0.29401888,0.402451721,0.521254392
r.hpshh.VCAedge_length_total,0.333306208,0.352304987,0.081490446,0.063551828,0.284182863,0.389446973,0.498130595
r.hpshh.VCAfree_volume,0.380242179,0.395298351,0.078052746,0.118016247,0.329582707,0.435050107,0.538270923
r.hpshh.VCAmodified_volume,0.342107015,0.357764249,0.081007596,0.065968228,0.290601864,0.397322749,0.511538941
r.hpshh.VCAnfaces,-0.08616434,-0.081542972,0.063438604,-0.289746784,-0.125519119,-0.04251855,0.063948767
r.hpshh.VCAvolume,0.343369688,0.356647983,0.081348735,0.067434834,0.2909651,0.398572358,0.506023827
r.hpshh.VSCarea,0.442757555,0.448636555,0.081235487,0.147848226,0.390347276,0.498616035,0.638588781
r.hpshh.VSCeccentricity,0.437215717,0.444808011,0.077706213,0.160530812,0.387145239,0.495253565,0.606999306
r.hpshh.VSCedge_length_total,0.414832768,0.423286688,0.080500412,0.120650267,0.36408258,0.471837983,0.616442989
r.hpshh.VSCfree_volume,0.481057373,0.491722219,0.078104093,0.183844462,0.439149363,0.531641429,0.668862549
r.hpshh.VSCmodified_volume,0.423189086,0.430477097,0.082472376,0.120820663,0.36747113,0.481400726,0.630791933
r.hpshh.VSCnfaces,0.013253533,0.019498082,0.066248156,-0.207637019,-0.031344436,0.061915976,0.191673975
r.hpshh.VSCvolume,0.42448469,0.430616822,0.082911481,0.12211014,0.368783028,0.483871863,0.62861594
r.hpshh.wcnAA,-0.362475871,-0.364506325,0.080237541,-0.551897055,-0.409636498,-0.311415302,-0.11258299
r.hpshh.wcnC,-0.244908087,-0.251607167,0.067072743,-0.408967285,-0.291095691,-0.200282817,-0.066102144
r.hpshh.wcnCA,-0.287914106,-0.289544837,0.0706332,-0.471345532,-0.336855312,-0.240757289,-0.080196915
r.hpshh.wcnCB,-0.340272379,-0.342336336,0.076035592,-0.518268661,-0.39068391,-0.290043747,-0.103332215
r.hpshh.wcnN,-0.233699567,-0.234617595,0.063312215,-0.438581137,-0.274108024,-0.196592254,-0.026956542
r.hpshh.wcnO,-0.242351108,-0.247304248,0.067559651,-0.383114381,-0.291653018,-0.197350319,-0.068678503
r.hpshh.wcnSC,-0.398467047,-0.398337852,0.081748428,-0.617853767,-0.453355774,-0.346086501,-0.135983656
r.hpskd.hpsww,0.759675521,0.769648841,0.042810619,0.548373955,0.74197065,0.789533085,0.834855931
r.hpskd.resvol,-0.134423169,-0.13369559,0.067556682,-0.357079408,-0.173792742,-0.086533276,0.013878427
r.hpskd.rsa,-0.460123384,-0.475612973,0.080593165,-0.652645763,-0.513206294,-0.408866041,-0.165278639
r.hpskd.seqent,-0.161291362,-0.15896486,0.078299454,-0.376843678,-0.218145206,-0.110416712,0.049365412
r.hpskd.sizeAA,-0.418124053,-0.416061925,0.047731714,-0.585195043,-0.445910677,-0.386752305,-0.302546303
r.hpskd.sizeSC,-0.418124053,-0.416061925,0.047731714,-0.585195043,-0.445910677,-0.386752305,-0.302546303
r.hpskd.VAAarea,-0.419725812,-0.430741193,0.081160724,-0.587282807,-0.472829471,-0.371118172,-0.122239896
r.hpskd.VAAeccentricity,-0.394407975,-0.406372291,0.089210717,-0.572184083,-0.454569621,-0.348037681,-0.061076298
r.hpskd.VAAedge_length_total,-0.405633803,-0.41844537,0.077769446,-0.569560446,-0.456939036,-0.354266378,-0.1277035
r.hpskd.VAAfree_volume,-0.420832054,-0.438062595,0.091866805,-0.611162093,-0.4836128,-0.369944073,-0.072373099
r.hpskd.VAAmodified_volume,-0.409819453,-0.424607354,0.080230944,-0.576581598,-0.46481744,-0.366219043,-0.113181967
r.hpskd.VAAnfaces,-0.045761052,-0.052537115,0.072047143,-0.246581278,-0.092751754,0.004277116,0.178478636
r.hpskd.VAAvolume,-0.411832136,-0.426516406,0.080607515,-0.579263316,-0.467960008,-0.366531476,-0.113992412
r.hpskd.VCAarea,-0.331137135,-0.346777571,0.083437563,-0.511549809,-0.386896635,-0.285201706,-0.029392163
r.hpskd.VCAeccentricity,-0.325354594,-0.33578759,0.082454787,-0.517403206,-0.374944359,-0.28306967,-0.038861205
r.hpskd.VCAedge_length_total,-0.30928384,-0.325595645,0.083400506,-0.486650004,-0.365615202,-0.262115962,-0.018108602
r.hpskd.VCAfree_volume,-0.313142309,-0.321669652,0.09121392,-0.504899875,-0.376891225,-0.264666916,0.01373017
r.hpskd.VCAmodified_volume,-0.318650015,-0.335042713,0.083659771,-0.499811283,-0.374176189,-0.269147724,-0.020726657
r.hpskd.VCAnfaces,0.077131931,0.071526371,0.065804687,-0.054157769,0.032016162,0.115254781,0.322667037
r.hpskd.VCAvolume,-0.319762463,-0.334901765,0.083865324,-0.495374572,-0.376478512,-0.269246703,-0.022065856
r.hpskd.VSCarea,-0.438732558,-0.450930753,0.081380753,-0.644807931,-0.49261394,-0.391419026,-0.140976398
r.hpskd.VSCeccentricity,-0.417140285,-0.427814639,0.082739964,-0.599567573,-0.471160281,-0.370731879,-0.108111451
r.hpskd.VSCedge_length_total,-0.415953986,-0.420936772,0.078921128,-0.619365436,-0.467921752,-0.371024355,-0.128088315
r.hpskd.VSCfree_volume,-0.429537698,-0.433822634,0.091685051,-0.649091121,-0.491792656,-0.374688117,-0.077791338
r.hpskd.VSCmodified_volume,-0.420881545,-0.430760881,0.081854729,-0.635632599,-0.477214425,-0.371797152,-0.119427045
r.hpskd.VSCnfaces,-0.038706779,-0.040858885,0.064600642,-0.209643899,-0.083212455,5.32E-05,0.181591394
r.hpskd.VSCvolume,-0.422336537,-0.431800874,0.082263795,-0.633902804,-0.478759508,-0.37197209,-0.120720379
r.hpskd.wcnAA,0.360098504,0.364601425,0.084983711,0.095345526,0.304513868,0.417610355,0.558626636
r.hpskd.wcnC,0.223521653,0.230918843,0.073592589,0.023788358,0.176599165,0.274745745,0.38969004
r.hpskd.wcnCA,0.265717015,0.267129997,0.07672969,0.037778454,0.22260405,0.317031888,0.447208556
r.hpskd.wcnCB,0.321536804,0.32069757,0.080718593,0.069009765,0.271843344,0.380329401,0.514029943
r.hpskd.wcnN,0.209944496,0.213634255,0.068254132,0.002496238,0.173139145,0.255461431,0.435124581
r.hpskd.wcnO,0.221630123,0.229954936,0.074379103,0.025287462,0.179478381,0.271117503,0.395328468
r.hpskd.wcnSC,0.386729316,0.389673988,0.086244074,0.109318854,0.324843327,0.445896381,0.622956615
r.hpsww.resvol,0.161630043,0.161943003,0.075889947,-0.101057088,0.114091364,0.211519097,0.39160857
r.hpsww.rsa,-0.425178737,-0.438323312,0.083040033,-0.605559405,-0.48304244,-0.376703665,-0.150394953
r.hpsww.seqent,-0.207128726,-0.209380091,0.076778135,-0.479745157,-0.261868091,-0.151289825,-0.018068439
r.hpsww.sizeAA,-0.10081056,-0.102272025,0.088989144,-0.397712153,-0.159917053,-0.040048656,0.129675207
r.hpsww.sizeSC,-0.10081056,-0.102272025,0.088989144,-0.397712153,-0.159917053,-0.040048656,0.129675207
r.hpsww.VAAarea,-0.366594788,-0.376786794,0.086684472,-0.557387107,-0.4346094,-0.312561735,-0.076096084
r.hpsww.VAAeccentricity,-0.398801991,-0.411709853,0.084159297,-0.569821876,-0.460731258,-0.349702131,-0.105889378
r.hpsww.VAAedge_length_total,-0.348050026,-0.355211476,0.086360025,-0.548423427,-0.410837157,-0.289996699,-0.064309183
r.hpsww.VAAfree_volume,-0.438405363,-0.453591169,0.082067407,-0.623297654,-0.499248185,-0.388456032,-0.171811579
r.hpsww.VAAmodified_volume,-0.351782871,-0.360007801,0.087021285,-0.550303081,-0.419895217,-0.300577076,-0.057548885
r.hpsww.VAAnfaces,0.013257286,0.007627736,0.071415105,-0.186732628,-0.0318207,0.061599435,0.230003456
r.hpsww.VAAvolume,-0.353469805,-0.362517071,0.087394965,-0.552039756,-0.42171427,-0.301757575,-0.057929148
r.hpsww.VCAarea,-0.325174373,-0.337855605,0.080172849,-0.474748322,-0.383889859,-0.271859057,-0.07237427
r.hpsww.VCAeccentricity,-0.321455081,-0.333032861,0.079219081,-0.470886864,-0.380637516,-0.269714704,-0.073031244
r.hpsww.VCAedge_length_total,-0.30730354,-0.321219291,0.07896536,-0.465421444,-0.362962477,-0.252522469,-0.062383903
r.hpsww.VCAfree_volume,-0.37481874,-0.39234993,0.076524184,-0.514067862,-0.432596198,-0.325868585,-0.162179417
r.hpsww.VCAmodified_volume,-0.314342175,-0.326387275,0.07983066,-0.468740687,-0.370647803,-0.261194811,-0.066630679
r.hpsww.VCAnfaces,0.071864945,0.071868289,0.05965881,-0.072651542,0.028162231,0.116597099,0.218612129
r.hpsww.VCAvolume,-0.315333634,-0.32853352,0.080007383,-0.462226619,-0.373647292,-0.26063323,-0.067119852
r.hpsww.VSCarea,-0.4041978,-0.416144099,0.085501485,-0.588510646,-0.465553044,-0.350093477,-0.120478983
r.hpsww.VSCeccentricity,-0.416720751,-0.423856577,0.080853231,-0.605668122,-0.475632205,-0.365048392,-0.158835165
r.hpsww.VSCedge_length_total,-0.382556416,-0.391778822,0.084362366,-0.592062949,-0.442911906,-0.332986004,-0.104416612
r.hpsww.VSCfree_volume,-0.474224651,-0.48782225,0.080242566,-0.646606841,-0.530377895,-0.421846954,-0.223741525
r.hpsww.VSCmodified_volume,-0.39127694,-0.401633299,0.085604182,-0.583202689,-0.453985047,-0.341284638,-0.106942897
r.hpsww.VSCnfaces,-0.015517344,-0.021534894,0.068890995,-0.202046208,-0.06306446,0.026088715,0.187843346
r.hpsww.VSCvolume,-0.392548537,-0.402802543,0.085905782,-0.584429607,-0.454875173,-0.339132348,-0.107891293
r.hpsww.wcnAA,0.333880053,0.342228193,0.080598354,0.080879076,0.289317065,0.385217281,0.524241055
r.hpsww.wcnC,0.218552612,0.219716177,0.068990583,0.019894002,0.173261234,0.262739444,0.379385511
r.hpsww.wcnCA,0.262156726,0.270425094,0.071503,0.036459248,0.217718572,0.312823399,0.422160603
r.hpsww.wcnCB,0.319839985,0.322187164,0.075010322,0.091024652,0.275250161,0.371192208,0.477162882
r.hpsww.wcnN,0.206724948,0.20908746,0.066543106,-0.015674754,0.167868513,0.249822827,0.39111796
r.hpsww.wcnO,0.218742074,0.22528269,0.069440383,0.028180671,0.175108067,0.267731302,0.397492857
r.hpsww.wcnSC,0.373798935,0.377690607,0.081801341,0.118431045,0.319559477,0.425627093,0.569422333
r.resvol.rsa,-0.025904805,-0.023410958,0.091649416,-0.242360728,-0.086417769,0.03886359,0.307189246
r.resvol.seqent,0.037003305,0.033081354,0.090435591,-0.157284009,-0.027801437,0.09198336,0.344440343
r.resvol.sizeAA,0.897193154,0.897789099,0.026041473,0.785065248,0.879320263,0.913728169,0.968395025
r.resvol.sizeSC,0.897193154,0.897789099,0.026041473,0.785065248,0.879320263,0.913728169,0.968395025
r.resvol.VAAarea,0.051322087,0.056696405,0.09088497,-0.211173883,-0.002248433,0.110045202,0.275622105
r.resvol.VAAeccentricity,-0.061353609,-0.057049914,0.091335377,-0.304337974,-0.116720363,0.000215636,0.231809618
r.resvol.VAAedge_length_total,0.08543201,0.0947694,0.088286896,-0.162810621,0.030105483,0.144820134,0.285033162
r.resvol.VAAfree_volume,-0.168262509,-0.161318754,0.099253158,-0.427512725,-0.232455903,-0.101966944,0.150274798
r.resvol.VAAmodified_volume,0.081827346,0.087502057,0.090556999,-0.167522386,0.02876492,0.138851162,0.292490446
r.resvol.VAAnfaces,0.250487638,0.250165168,0.062836259,0.08949706,0.210560163,0.282709844,0.456308917
r.resvol.VAAvolume,0.083675607,0.092397367,0.090294817,-0.168548477,0.02947944,0.139880678,0.291263499
r.resvol.VCAarea,-0.069874625,-0.062103818,0.090838889,-0.357504332,-0.132848387,-0.012994361,0.174858653
r.resvol.VCAeccentricity,-0.054193617,-0.049884689,0.088884735,-0.331825879,-0.10946559,0.007239693,0.194528746
r.resvol.VCAedge_length_total,-0.054700853,-0.046344989,0.089466959,-0.34193141,-0.111986081,0.003388295,0.184074149
r.resvol.VCAfree_volume,-0.267468237,-0.264974725,0.095772952,-0.515839607,-0.3273605,-0.202900116,0.049506329
r.resvol.VCAmodified_volume,-0.054719076,-0.046414814,0.090780154,-0.338661674,-0.116408352,0.002898199,0.179914142
r.resvol.VCAnfaces,0.085080639,0.085489411,0.066966603,-0.134831611,0.043828749,0.13195139,0.252701714
r.resvol.VCAvolume,-0.054777025,-0.047673545,0.09092015,-0.341053318,-0.116095431,0.002892492,0.178390147
r.resvol.VSCarea,0.011601745,0.015860588,0.092072017,-0.225360907,-0.043559807,0.071703356,0.270535528
r.resvol.VSCeccentricity,-0.067392387,-0.061726193,0.09391183,-0.303081907,-0.128034365,-0.004820028,0.20830935
r.resvol.VSCedge_length_total,0.041435076,0.042498926,0.090524913,-0.20508617,-0.01565371,0.103767968,0.320976983
r.resvol.VSCfree_volume,-0.21160015,-0.212432408,0.104998096,-0.467730525,-0.280547493,-0.143139436,0.11732827
r.resvol.VSCmodified_volume,0.026309397,0.0277662,0.092497249,-0.221680392,-0.029391911,0.089614166,0.296598518
r.resvol.VSCnfaces,0.14836297,0.1428644,0.067784354,-0.008270598,0.101244863,0.195226759,0.370023628
r.resvol.VSCvolume,0.027779842,0.030408296,0.092643665,-0.217171288,-0.029888507,0.089180471,0.299950488
r.resvol.wcnAA,-0.020255473,-0.028115837,0.096021355,-0.284114869,-0.081851793,0.04328568,0.227766363
r.resvol.wcnC,0.070882361,0.06596213,0.091505714,-0.18106175,0.010295665,0.127744347,0.350205366
r.resvol.wcnCA,0.071697997,0.063726841,0.097272926,-0.222933035,0.013571838,0.129245239,0.337732657
r.resvol.wcnCB,0.058369504,0.049558881,0.099205665,-0.227713368,-0.010931121,0.119877464,0.317060058
r.resvol.wcnN,0.074804133,0.072516532,0.089506144,-0.156458544,0.020458773,0.127298237,0.327325061
r.resvol.wcnO,0.0697255,0.070986814,0.089560615,-0.137054658,0.009565601,0.124207964,0.33586354
r.resvol.wcnSC,0.024836331,0.017606236,0.097411763,-0.239757783,-0.039163966,0.086865618,0.268714616
r.rsa.seqent,0.4673544,0.489316097,0.10138294,0.089232363,0.41660129,0.539413238,0.678701437
r.rsa.sizeAA,0.111170595,0.117008537,0.106552905,-0.164842467,0.051832184,0.187847827,0.429741802
r.rsa.sizeSC,0.111170595,0.117008537,0.106552905,-0.164842467,0.051832184,0.187847827,0.429741802
r.rsa.VAAarea,0.928950578,0.92941181,0.011532889,0.897838498,0.921942219,0.937834512,0.952796732
r.rsa.VAAeccentricity,0.894680134,0.89627836,0.013582599,0.849542617,0.886693475,0.903317464,0.924434121
r.rsa.VAAedge_length_total,0.886416202,0.886790155,0.019656156,0.838304943,0.874003544,0.899361875,0.934363711
r.rsa.VAAfree_volume,0.907589403,0.909278955,0.017816422,0.852773584,0.897580215,0.92071746,0.944584171
r.rsa.VAAmodified_volume,0.911969926,0.912603395,0.016099011,0.866527952,0.902606942,0.922937047,0.949319185
r.rsa.VAAnfaces,0.031320853,0.036206795,0.072621047,-0.15489588,-0.019791112,0.082072111,0.234603933
r.rsa.VAAvolume,0.914245698,0.914996598,0.016447275,0.867747854,0.905531174,0.925338081,0.948719331
r.rsa.VCAarea,0.865475606,0.865887878,0.016500547,0.818458098,0.856529143,0.875704815,0.905038547
r.rsa.VCAeccentricity,0.824368925,0.82480006,0.018983844,0.777773461,0.811936262,0.836286675,0.889491796
r.rsa.VCAedge_length_total,0.823288087,0.824352099,0.023829638,0.755192982,0.809258492,0.838395966,0.884735251
r.rsa.VCAfree_volume,0.825189974,0.827674306,0.024647706,0.752558494,0.809132247,0.842691321,0.885027311
r.rsa.VCAmodified_volume,0.848570489,0.848452491,0.019497893,0.792013742,0.836380263,0.859598936,0.897973028
r.rsa.VCAnfaces,-0.077076401,-0.078655174,0.073221149,-0.251179734,-0.12877408,-0.024109464,0.094297998
r.rsa.VCAvolume,0.850866959,0.851117091,0.019590911,0.794385254,0.839429143,0.863398983,0.896971663
r.rsa.VSCarea,0.928458247,0.929430079,0.012387706,0.895028185,0.920367732,0.937335204,0.953461
r.rsa.VSCeccentricity,0.872699732,0.873931434,0.019210941,0.799745647,0.859138738,0.886774069,0.909856193
r.rsa.VSCedge_length_total,0.875458697,0.875798379,0.022779955,0.816105724,0.858847412,0.892653618,0.925524831
r.rsa.VSCfree_volume,0.89619563,0.898879506,0.021425411,0.834479769,0.882217301,0.910820128,0.948046061
r.rsa.VSCmodified_volume,0.915273619,0.915688635,0.01579874,0.866118824,0.905027793,0.927467398,0.951652049
r.rsa.VSCnfaces,0.026459395,0.029398802,0.069578564,-0.137604084,-0.025881435,0.075767134,0.196764207
r.rsa.VSCvolume,0.917107247,0.917766124,0.015998133,0.866771813,0.906273742,0.929566692,0.952264558
r.rsa.wcnAA,-0.83712524,-0.845825239,0.05118992,-0.923493578,-0.879562431,-0.802851674,-0.666491522
