variable,mean,median,sd,min,q1,q3,max
r.bfCA.wcnN,-0.634098884,-0.660914747,0.139132475,-0.90545575,-0.734641669,-0.559488033,-0.192359053
r.bfCA.wcnO,-0.626003931,-0.655673538,0.129867987,-0.886759379,-0.72013884,-0.535600651,-0.24488631
r.bfCA.wcnSC,-0.610763342,-0.632914107,0.128100278,-0.859770109,-0.699533435,-0.547228463,-0.200836954
r.bfCB.bfN,0.872521871,0.912386579,0.130702033,0.216266715,0.853344423,0.950104615,0.993981423
r.bfCB.bfO,0.833222361,0.868562331,0.13892486,0.06537663,0.780257641,0.926364433,0.993395783
r.bfCB.bfSC,0.922866648,0.941034061,0.067644462,0.603660401,0.908653434,0.962586822,1
r.bfCB.ddgent,0.457761854,0.468070363,0.089659565,0.142899126,0.411019359,0.508167152,0.667832523
r.bfCB.hbe_mean,0.307930975,0.299610589,0.103951848,0.056275996,0.237862714,0.381069789,0.605344912
r.bfCB.hpshh,0.253604571,0.252060851,0.082174439,0.011518578,0.209209599,0.310432453,0.445684834
r.bfCB.hpskd,-0.231344806,-0.22622949,0.088641349,-0.472582779,-0.294784268,-0.170541128,0.038648733
r.bfCB.hpsww,-0.242717427,-0.251319372,0.079155768,-0.452593874,-0.288717901,-0.190801608,-0.01835323
r.bfCB.resvol,-0.040432231,-0.032101523,0.088874442,-0.293613552,-0.094802395,0.012930818,0.193620694
r.bfCB.rsa,0.562037277,0.57237997,0.104196025,0.178215089,0.510061352,0.633518971,0.778023369
r.bfCB.seqent,0.330503471,0.351162988,0.133995291,-0.063143603,0.248217692,0.424906925,0.630074046
r.bfCB.sizeAA,0.027557975,0.031781452,0.100842012,-0.269830862,-0.035622892,0.085709219,0.297873756
r.bfCB.sizeSC,0.027557975,0.031781452,0.100842012,-0.269830862,-0.035622892,0.085709219,0.297873756
r.bfCB.VAAarea,0.554265181,0.566118238,0.105233895,0.20391886,0.507208908,0.625793047,0.794118737
r.bfCB.VAAeccentricity,0.522069565,0.529552791,0.102870759,0.19423588,0.473893939,0.589006949,0.719356427
