pdb,r.wcnCA.r4sJC,r.wcnSC.r4sJC,r.rsa.r4sJC,r.vareaSC.r4sJC,r.ddgent.r4sJC,r.vareaCA.r4sJC,r.bfSC.r4sJC,r.hbe.r4sJC,r.distance.r4sJC,r.bfSC.distance,r.bfSC.wcnSC,r.distance.wcnSC,r.distance.vareaSC,r.wcnSC.vareaSC
1D4C_A,-0.658646047,-0.681579571,0.598603286,0.652238422,0.596600419,0.609268327,0.499935566,-0.150320196,0.540318429,0.665606089,-0.701789036,-0.878143639,0.642999152,-0.882397137
1D6O_A,-0.369474271,-0.551947699,0.471786372,0.557009192,0.595374621,0.443088857,0.416953327,-0.190820299,0.510878832,0.423745625,-0.632036286,-0.873760442,0.755938488,-0.94366073
1DDJ_A,-0.654394467,-0.706736818,0.59181668,0.65586342,0.652202386,0.627606881,0.527976215,-0.282221009,0.668983253,0.667772648,-0.72985956,-0.952464189,0.845412455,-0.940272252
1DGK_N,-0.480595318,-0.55272517,0.526083454,0.554904427,0.534652587,0.533030086,0.43727058,-0.123754238,0.035906194,0.124692297,-0.757523786,-0.403956523,0.189559754,-0.88389896
1DGS_A,-0.427318216,-0.519049293,0.425102011,0.482424031,0.416652647,0.430686647,0.266386313,0.004770773,0.43199542,0.263194874,-0.564200048,-0.694512216,0.371981177,-0.843153879
1DNP_A,-0.618814921,-0.686319007,0.609356793,0.621484845,0.606916454,0.608856059,0.513937412,-0.137072158,0.505295922,0.597007251,-0.721867864,-0.821960447,0.488320409,-0.840162991
1DVE_A,-0.593320811,-0.698862189,0.656722071,0.702937957,0.647924585,0.657662468,0.440767117,-0.308561361,0.616114563,0.540827647,-0.577721493,-0.903946449,0.749814569,-0.924718141
1E0C_A,-0.567427807,-0.614044562,0.58403989,0.588032952,0.588120047,0.578099039,0.477858925,-0.267240219,0.442271645,0.541398481,-0.682654901,-0.870315034,0.691858106,-0.913863003
1E1A_A,-0.576385709,-0.595039696,0.545236098,0.555236768,0.548876407,0.528660745,0.55896924,-0.302593737,0.571765542,0.782347654,-0.832867544,-0.966770746,0.860359816,-0.935101309
1E6E_A,-0.730049358,-0.754707986,0.56923198,0.632800612,0.538913464,0.630835897,0.426835649,-0.142933941,0.720627126,0.415541265,-0.669149329,-0.814004781,0.570628379,-0.886528764
1EB6_A,-0.520098727,-0.666849896,0.624766089,0.656052017,0.60315334,0.623586965,0.499172492,-0.140635456,0.571933739,0.759097724,-0.787541517,-0.910601444,0.808058205,-0.942212306
1EH5_A,-0.6714681,-0.745427169,0.714957482,0.711102301,0.712579587,0.669004207,0.554018899,-0.097832351,0.681684593,0.790886513,-0.748730439,-0.941105126,0.783677406,-0.919332184
1EUG_A,-0.632990239,-0.714869195,0.63797912,0.666315488,0.660074196,0.631983532,0.561993723,-0.102465027,0.654041393,0.645939536,-0.728764606,-0.94128709,0.817803006,-0.935018963
1EUU_A,-0.446648996,-0.496850173,0.348681364,0.347492921,0.340824125,0.324625091,0.257123197,-0.096107827,0.337279821,0.215819461,-0.490602476,-0.770913673,0.428341196,-0.824659012
1EX1_A,-0.555617856,-0.607847045,0.579059382,0.599902523,0.630528699,0.557527815,0.410111186,-0.073268048,0.43065451,0.417241759,-0.673810933,-0.837668827,0.535502611,-0.861255081
1EXN_A,-0.352881001,-0.404837224,0.302077924,0.373874243,0.28342011,0.34121364,0.081071497,-0.062939011,0.33681887,0.27768356,-0.445622693,-0.862291146,0.638679753,-0.900207293
1EXP_A,-0.557076962,-0.661241062,0.589848457,0.597033487,0.577968931,0.546133337,0.437012371,-0.103216044,0.618019555,0.662556759,-0.706196015,-0.917144581,0.734960273,-0.904152564
1EYP_A,-0.424014786,-0.459082608,0.480642684,0.479849872,0.488373279,0.474959382,0.125223279,-0.275740476,0.4545624,0.371150744,-0.459442482,-0.941645581,0.804746389,-0.922490501
1FF3_A,-0.472286293,-0.524217608,0.503797189,0.521564831,0.576520207,0.503414627,0.358825445,-0.144031222,0.478375239,0.557213334,-0.664565333,-0.922821703,0.765246377,-0.919827142
1FGH_A,-0.727472671,-0.76887912,0.601753119,0.671438475,0.5938322,0.619085047,0.673490122,-0.141439625,0.74746063,0.761417717,-0.819672007,-0.933616099,0.713639124,-0.87777026
1FHL_A,-0.55862851,-0.64852299,0.590848104,0.567950783,0.602021125,0.534380614,0.468235017,-0.130072452,0.618972696,0.487638711,-0.58226538,-0.904924111,0.711110435,-0.889665767
1FOA_A,-0.687727951,-0.768637987,0.639841665,0.677241758,0.637445221,0.633124897,0.467846182,-0.179176887,0.689171064,0.502620413,-0.635829497,-0.871345475,0.665457707,-0.90521219
1G24_A,-0.62650718,-0.633088734,0.568970233,0.54207306,0.512965331,0.573530141,0.396004026,-0.267005692,0.559124326,0.52758341,-0.542139629,-0.880903033,0.692621472,-0.906020545
1G6T_A,-0.676643686,-0.757968802,0.617046223,0.663691155,0.587073701,0.553086102,0.684219718,-0.038244133,0.684379654,0.674300057,-0.785103998,-0.830614534,0.611619374,-0.898335967
1G8O_A,-0.550063853,-0.635095491,0.624704337,0.646058874,0.663688867,0.642953999,0.385318034,-0.264481156,0.541827234,0.583157442,-0.649313204,-0.947197486,0.789078654,-0.919350974
1GA8_A,-0.640064089,-0.715805811,0.60407792,0.605965526,0.54514943,0.572625353,0.578385455,-0.220906024,0.732725302,0.739023792,-0.736625155,-0.926568707,0.766036215,-0.909888773
1GAL_A,-0.596898219,-0.622788146,0.489777966,0.525154139,0.473840791,0.52838623,0.436230017,-0.093933878,0.596421397,0.66305939,-0.69782617,-0.88816945,0.617508502,-0.860563245
1GCU_A,-0.523162503,-0.566637233,0.49992013,0.541364797,0.52366185,0.527156071,0.373462903,-0.15366943,0.44910496,0.673743642,-0.777262276,-0.848859106,0.66133088,-0.915356337
1GOG_A,-0.598485935,-0.661422892,0.631360758,0.648853581,0.632196629,0.581280543,0.615775574,-0.209184176,0.499054495,0.583431368,-0.76314674,-0.870754194,0.587229568,-0.844754755
