pdb,r.wcnCA.r4sJC,r.wcnSC.r4sJC,r.rsa.r4sJC,r.vareaSC.r4sJC,r.ddgent.r4sJC,r.vareaCA.r4sJC,r.bfSC.r4sJC,r.hbe.r4sJC,r.distance.r4sJC,r.bfSC.distance,r.bfSC.wcnSC,r.distance.wcnSC,r.distance.vareaSC,r.wcnSC.vareaSC
1PYL_A,-0.390818837,-0.597993414,0.566986065,0.554516218,0.575176985,0.4626206,0.387725321,-0.120475537,0.537473885,0.645380739,-0.699524076,-0.924286114,0.834630459,-0.930095185
1Q91_A,-0.583259611,-0.638744789,0.538367319,0.558782428,0.559223732,0.557485634,0.59160519,-0.161371132,0.611783569,0.760780169,-0.729766543,-0.884454268,0.734490981,-0.932105862
1QAM_A,-0.441047942,-0.489020173,0.381032536,0.421100165,0.341242934,0.40695315,0.234156162,-0.100419854,0.397401521,0.556542279,-0.727125285,-0.7462414,0.532871585,-0.918598759
1QAZ_A,-0.269894111,-0.281405634,0.352347917,0.296794985,0.319206968,0.315449992,0.287421287,-0.230617063,0.236673708,0.69251324,-0.781100089,-0.943197555,0.779165441,-0.91200938
1QBA_A,-0.617977927,-0.661448989,0.613263734,0.591157246,0.596554313,0.559972632,0.591464807,-0.135413795,0.564822101,0.65194028,-0.750061959,-0.90198658,0.536797817,-0.786977065
1QFM_A,-0.554130929,-0.611896815,0.570692362,0.612093208,0.552880856,0.558992076,0.56626394,-0.128758097,0.526405417,0.527629005,-0.715805632,-0.881326245,0.584295579,-0.830411203
1QGX_A,-0.67438323,-0.734214973,0.604964141,0.632330536,0.585816511,0.586920083,0.63988379,-0.22866106,0.727616972,0.744532199,-0.822662738,-0.908132633,0.723289236,-0.913022438
1QJE_A,-0.529294243,-0.576091208,0.509524772,0.512099073,0.457536276,0.496294735,0.346785905,-0.197348345,0.513609986,0.636236443,-0.721295517,-0.927760254,0.747006838,-0.906837766
1QK2_A,-0.601810493,-0.690141891,0.591544879,0.654050578,0.60924951,0.619819709,0.440302345,-0.024119689,0.64174291,0.631761244,-0.679503909,-0.95171497,0.766464498,-0.890141752
1QWN_A,-0.631786018,-0.663123873,0.591483744,0.562933556,0.530754522,0.540026757,0.659875636,-0.191773506,0.560971575,0.729117033,-0.864974134,-0.879918141,0.570409827,-0.82567652
1R1J_A,-0.540438138,-0.622688504,0.590011196,0.613759373,0.535110615,0.581032283,0.536032419,-0.07863489,0.48219249,0.600869447,-0.7119058,-0.802298019,0.462633587,-0.821660261
1R44_A,-0.658474335,-0.774181525,0.698654352,0.709170165,0.626033808,0.662456331,0.567136059,-0.067618952,0.715995144,0.742629973,-0.766898952,-0.918414895,0.78460334,-0.92932232
1R4Z_A,-0.517306659,-0.624009567,0.562082914,0.591938324,0.596229566,0.524105975,0.547576639,-0.213067068,0.578581058,0.652112234,-0.713897433,-0.964837947,0.870192743,-0.938210061
1RBN_A,-0.541391221,-0.674895552,0.678263549,0.726950282,0.686927308,0.638671251,0.389444896,-0.238790455,0.481317419,0.609442344,-0.743699046,-0.838036192,0.684198269,-0.92113926
1RDD_A,-0.434777331,-0.536843331,0.530849118,0.526122736,0.530132668,0.483610034,0.157573929,-0.063525412,0.471420803,0.558977842,-0.52069838,-0.923950988,0.807506048,-0.934736232
1RU4_A,-0.552420334,-0.55384414,0.58213391,0.563717875,0.58268083,0.583579252,0.39927409,-0.312104849,0.422911233,0.627250262,-0.759681126,-0.852703418,0.579137389,-0.871957137
1S3I_A,-0.534321416,-0.585157198,0.433316563,0.50061788,0.41107103,0.48770078,0.489253721,-0.099198023,0.587688978,0.596558859,-0.679980425,-0.681625471,0.426364712,-0.896760836
1S95_A,-0.601286979,-0.696366397,0.557221316,0.611755625,0.561541,0.545067932,0.242421913,-0.086035814,0.661121173,0.278555457,-0.375951473,-0.928101116,0.779879896,-0.927071172
1SCA_A,-0.659296547,-0.742634001,0.67400182,0.739971167,0.741696219,0.662324285,0.590291047,-0.227779391,0.686291257,0.701432336,-0.736994162,-0.965745918,0.853015971,-0.936874221
1SLL_A,-0.424539598,-0.47496237,0.403691679,0.416277617,0.451174204,0.378449439,0.307705444,-0.111595894,0.364492627,0.481901357,-0.699297821,-0.811655699,0.477853642,-0.836014395
1SML_A,-0.479593925,-0.552488522,0.502135068,0.573646737,0.548253581,0.504788696,0.491940969,-0.095281136,0.506034331,0.766210618,-0.748937254,-0.956913941,0.818412887,-0.922578376
1SNZ_A,-0.418265757,-0.571205894,0.547768638,0.560543042,0.599461714,0.48429702,0.475308205,-0.161051575,0.429533198,0.617189099,-0.714829967,-0.929586047,0.725438998,-0.881268885
1TAH_B,-0.509014302,-0.532352657,0.50611317,0.475554545,0.470973811,0.468344918,0.292903631,-0.086322579,0.515788334,0.454947564,-0.561268612,-0.921891125,0.742448855,-0.911174848
1TLP_E,-0.597196558,-0.678668858,0.608855357,0.626864389,0.602578453,0.564379227,0.506156396,-0.211959652,0.568214853,0.436391595,-0.672484098,-0.831170466,0.611553329,-0.904963083
1U3F_A,-0.490992696,-0.563524564,0.452168414,0.513711621,0.415432545,0.542740149,0.345637832,0.029607273,0.574070499,0.696355747,-0.690522765,-0.942970631,0.838085781,-0.948550596
1U5U_A,-0.34435652,-0.358263223,0.287593353,0.30591236,0.262902589,0.295054553,0.359075995,-0.079659057,0.355701168,0.663096426,-0.659488739,-0.946596685,0.757245553,-0.886721929
1UAS_A,-0.599725036,-0.664589123,0.562070666,0.563367033,0.624887785,0.538568296,0.601714987,-0.092631792,0.580648966,0.719143812,-0.803939741,-0.838442196,0.569326186,-0.873233797
1UN1_A,-0.49831959,-0.578041758,0.521421812,0.566820251,0.551536856,0.485573099,0.478228007,-0.296956729,0.504544689,0.673193763,-0.700122466,-0.904274954,0.712133253,-0.899066171
1VID_A,-0.537120905,-0.624743255,0.532084521,0.605121362,0.530204626,0.552672755,0.48672004,-0.132056175,0.570743002,0.666270118,-0.694434182,-0.918970001,0.793606463,-0.942728137
1VLB_A,-0.524931231,-0.565680428,0.494796726,0.553867276,0.569211352,0.524903136,0.544503764,-0.034665317,0.477541966,0.818854713,-0.863871198,-0.941121167,0.645157793,-0.821441463
1VNC_A,-0.530572026,-0.549414504,0.550901805,0.526871319,0.538018543,0.516335944,0.465092193,-0.236353945,0.465351414,0.663410808,-0.726020866,-0.90605027,0.704187887,-0.900557338
1VQ1_A,-0.601613762,-0.701763593,0.58515332,0.652350344,0.558084597,0.618606987,0.112702281,-0.054728046,0.633870061,0.055483167,-0.191493169,-0.816346253,0.574359725,-0.909223501
1W0H_A,-0.616917476,-0.709781683,0.618903821,0.625394416,0.577160089,0.578497992,0.41094401,-0.112418093,0.609697329,0.372721192,-0.539635268,-0.901627913,0.749658651,-0.923994856
1XQW_A,-0.624827142,-0.676118428,0.660460954,0.672571588,0.688751201,0.627819781,0.472340202,-0.114431592,0.597120361,0.746582844,-0.762729582,-0.950086905,0.8407965,-0.94467112
1Y9M_A,-0.653252841,-0.703289757,0.576648546,0.579875591,0.577201875,0.573251247,0.586187409,-0.219018634,0.613218099,0.611222712,-0.741257134,-0.858264535,0.598900723,-0.871193981
1YON_A,-0.617818748,-0.688013039,0.53998644,0.629911713,0.556267728,0.557207151,0.261261004,-0.173817386,0.63092246,0.351834485,-0.570917111,-0.847860489,0.662805767,-0.914479116
1YSC_A,-0.669399193,-0.718503911,0.665951733,0.699334018,0.695566653,0.676722019,0.216388386,-0.102847456,0.627613394,0.450596737,-0.50800786,-0.940730945,0.750473572,-0.892002149
1ZE1_A,-0.465199749,-0.545087291,0.385349576,0.434120026,0.369905946,0.391578182,0.178857845,-0.12467596,0.427123348,0.408942443,-0.398301555,-0.732854331,0.440926406,-0.877261412
1ZIO_A,-0.630988779,-0.752271472,0.609355897,0.715409081,0.534969374,0.655731537,0.592777913,-0.071369552,0.657840284,0.577853591,-0.704503443,-0.915473758,0.758438781,-0.920216839
206L_A,-0.489025917,-0.615077915,0.614003025,0.581732961,0.605822171,0.517803688,0.560410031,-0.244403936,0.43205186,0.541083972,-0.739054224,-0.775231773,0.594725084,-0.937095042
2A0N_A,-0.524489811,-0.583588287,0.387811639,0.463134086,0.374501762,0.430890781,0.086265287,-0.045900647,0.665005018,0.305870729,-0.420903214,-0.944560804,0.796056156,-0.919443749
2ABK_A,-0.538594263,-0.621361272,0.490007575,0.578082015,0.466879043,0.519669972,0.373917333,-0.207066009,0.57743082,0.501187549,-0.631808048,-0.729501412,0.533208569,-0.922541868
2ACY_A,-0.375398898,-0.505991833,0.483456838,0.501005813,0.525999676,0.446044818,0.716988231,0.056129253,0.388750212,0.607936958,-0.740587255,-0.878481852,0.770683906,-0.946432556
2AYH_A,-0.529086247,-0.610490206,0.538747451,0.541238157,0.533791989,0.498345245,0.491910814,-0.403894535,0.572871992,0.540787405,-0.601357085,-0.91632588,0.802899799,-0.927680143
2CPO_A,-0.392076467,-0.422594273,0.367476133,0.350423659,0.395189034,0.315348326,0.438500276,-0.097464281,0.366194986,0.775681186,-0.808695659,-0.943766052,0.793525974,-0.916480239
2CPU_A,-0.607515809,-0.679018832,0.658681709,0.664234671,0.677326376,0.612248721,0.525898246,-0.154228007,0.490453007,0.514214426,-0.69712703,-0.83450245,0.565519044,-0.857184949
2DLN_A,-0.705969613,-0.761731732,0.60329871,0.670784185,0.602493619,0.612728972,0.570160299,-0.150062679,0.714166852,0.779242525,-0.716573491,-0.888638391,0.669372068,-0.901257804
2EBN_A,-0.43957498,-0.479776638,0.375032397,0.370450202,0.441255071,0.336522836,0.35781938,-0.1505755,0.530937903,0.680403392,-0.782517629,-0.883549815,0.677357659,-0.901991115
2ENG_A,-0.506136782,-0.60656654,0.550890959,0.59637229,0.657195122,0.545217872,0.512736374,-0.159290974,0.554640624,0.711605014,-0.830341836,-0.917239249,0.773845877,-0.931031745
2F61_A,-0.62196326,-0.681059861,0.621699139,0.609820221,0.582079415,0.565541293,0.159538603,-0.158422184,0.558791566,0.332343686,-0.433594293,-0.860971881,0.609067259,-0.866630506
2F9R_A,-0.470067441,-0.586517334,0.513790068,0.554272969,0.485552138,0.481816392,0.348606404,-0.060739611,0.61393162,0.606378337,-0.677926327,-0.952695192,0.845633717,-0.935708398
2NLR_A,-0.455272622,-0.51810453,0.463063432,0.445795544,0.526209485,0.425561949,0.452764317,-0.228488024,0.470457681,0.750703878,-0.747836063,-0.930372057,0.807244757,-0.932279702
2NMT_A,-0.477463937,-0.53945299,0.524557994,0.550961061,0.521658309,0.523428987,0.519239876,-0.280510156,0.424221402,0.502821339,-0.478292609,-0.914874608,0.700960734,-0.891350661
2PEC_A,-0.530463555,-0.546784541,0.467317624,0.464923726,0.386394629,0.494689757,0.370274394,-0.30541398,0.499855137,0.628512352,-0.744665753,-0.919473717,0.660447357,-0.861472097
2PIA_A,-0.623718253,-0.700663378,0.621534835,0.659042517,0.606019416,0.592497709,0.420123921,-0.211268631,0.565410317,0.52597359,-0.636794283,-0.875789254,0.652748044,-0.890769476
2PTH_A,-0.415871785,-0.496999581,0.369187618,0.437293216,0.427755791,0.423157793,0.505137707,0.042692769,0.472453548,0.751508899,-0.793361218,-0.956429277,0.874385717,-0.953125835
2SQC_A,-0.629762167,-0.66491479,0.580300967,0.602926697,0.573363599,0.556188756,0.53636639,-0.028091915,0.555176194,0.704628856,-0.754121717,-0.886213532,0.57821091,-0.828461763
2THI_A,-0.429190289,-0.463012849,0.424174276,0.438648679,0.381794513,0.4070408,0.388376055,-0.156840784,0.361787821,0.483926748,-0.654425186,-0.871083877,0.63129371,-0.882389089
2TPS_A,-0.614697231,-0.728879593,0.603084521,0.666051562,0.604378542,0.60783162,0.629518198,-0.138959345,0.741853648,0.743879245,-0.810352405,-0.941954425,0.837085192,-0.933758008
5EAT_A,-0.256283391,-0.318475987,0.394074424,0.381965243,0.446622623,0.367054504,0.183468007,-0.165434845,0.14658123,0.564626999,-0.65004559,-0.870123787,0.590769187,-0.854845139
7ATJ_A,-0.566858542,-0.680805881,0.676044117,0.719065327,0.677624009,0.658583541,0.589258534,-0.122267223,0.464427559,0.643341652,-0.731735577,-0.867646728,0.653432922,-0.903873776
,,,,,,,,,,,,,,
,,,-0.638744789,0.568970233,0.590861664,0.561541,0.551347495,0.468235017,-0.132239469,0.564822101,0.597795096,-0.69712703,-0.904274954,0.69608812
,,,,,,,,,,,,,,
,,,,,,,,,,0.597795096,,,,
