pdb	pdb_asa	nres	nchain	sum.nssb	mean.nssb	sum.nhbon	mean.nhbon	sum.nhbps	mean.nhbps	sum.nhbas	mean.nhbas
1GAL_A	20277.9	581	1	0	0.0	421	0.724612736661	38	0.065404475043	82	0.141135972461	
1GCU_A	15470.9	292	1	0	0.0	211	0.722602739726	33	0.11301369863	37	0.126712328767	
1GOG_A	22025.8	639	1	0	0.0	383	0.599374021909	10	0.0156494522692	221	0.345852895149	
1GP5_A	17029.3	346	1	0	0.0	225	0.650289017341	6	0.0173410404624	59	0.170520231214	
1GQ8_A	13247.4	318	1	0	0.0	223	0.701257861635	112	0.352201257862	0	0.0	
1H19_A	24168.1	610	1	0	0.0	436	0.714754098361	22	0.0360655737705	93	0.152459016393	
1H3I_A	15843.8	293	1	0	0.0	181	0.617747440273	4	0.0136518771331	105	0.358361774744	
1HKA_A	8925.3	158	1	0	0.0	96	0.607594936709	0	0.0	35	0.221518987342	
1HPL_A	18768.1	449	1	0	0.0	291	0.648106904232	35	0.0779510022272	81	0.180400890869	
1HPM_A	17066.5	378	1	0	0.0	288	0.761904761905	19	0.0502645502646	62	0.164021164021	
1HQC_A	16947.0	314	1	0	0.0	208	0.662420382166	18	0.0573248407643	10	0.031847133758	
1I1E_A	55465.2	1287	2	0	0.0	848	0.658896658897	27	0.020979020979	230	0.17871017871	
1I1I_P	30424.8	665	1	0	0.0	494	0.742857142857	7	0.0105263157895	31	0.0466165413534	
1I9A_A	9165.4	175	4	0	0.0	112	0.64	11	0.0628571428571	36	0.205714285714	
1IDJ_A	13792.9	359	1	0	0.0	280	0.779944289694	125	0.348189415042	14	0.0389972144847	
1IG8_A	20688.4	469	1	0	0.0	326	0.695095948827	25	0.0533049040512	41	0.0874200426439	
1IM5_A	8677.3	179	1	0	0.0	126	0.703910614525	35	0.195530726257	2	0.0111731843575	
1INP_A	20276.8	400	1	0	0.0	255	0.6375	14	0.035	53	0.1325	
1IU4_A	16493.5	331	1	0	0.0	209	0.631419939577	0	0.0	50	0.151057401813	
1J00_A	8933.0	176	3	0	0.0	127	0.721590909091	21	0.119318181818	2	0.0113636363636	
1J09_A	22647.3	468	1	0	0.0	321	0.685897435897	19	0.0405982905983	23	0.0491452991453	
1JH6_A	9960.0	181	1	0	0.0	128	0.707182320442	2	0.0110497237569	45	0.24861878453	
1JMS_A	19603.7	360	2	0	0.0	247	0.686111111111	8	0.0222222222222	33	0.0916666666667	
1JOA_A	20312.7	446	2	0	0.0	323	0.724215246637	49	0.109865470852	70	0.156950672646	
1JS4_A	22590.5	605	1	0	0.0	403	0.666115702479	2	0.00330578512397	78	0.128925619835	
1K30_A	17648.1	363	2	0	0.0	264	0.727272727273	27	0.0743801652893	11	0.030303030303	
1KL7_A	21545.3	503	7	0	0.0	328	0.652087475149	40	0.0795228628231	14	0.0278330019881	
1KNP_A	21554.2	529	1	0	0.0	383	0.724007561437	33	0.062381852552	55	0.103969754253	
1L1D_A	8066.0	142	3	0	0.0	83	0.584507042254	0	0.0	33	0.232394366197	
1L1L_A	29785.9	717	2	0	0.0	493	0.687587168759	53	0.0739191073919	50	0.0697350069735	
1L6P_A	7306.4	121	1	0	0.0	81	0.669421487603	0	0.0	52	0.429752066116	
1L7N_A	10165.4	207	3	0	0.0	153	0.739130434783	28	0.135265700483	10	0.048309178744	
1L7Q_A	20802.3	571	1	0	0.0	396	0.693520140105	44	0.077057793345	100	0.175131348511	
1L8T_A	14011.7	263	1	0	0.0	177	0.673003802281	2	0.00760456273764	39	0.148288973384	
1L9X_A	13133.0	288	1	0	0.0	204	0.708333333333	19	0.0659722222222	40	0.138888888889	
1LBA_A	8019.5	146	1	0	0.0	92	0.630136986301	18	0.123287671233	10	0.0684931506849	
1LDM_A	16477.6	329	1	0	0.0	238	0.723404255319	25	0.0759878419453	25	0.0759878419453	
1LJL_A	7137.0	130	1	0	0.0	93	0.715384615385	19	0.146153846154	0	0.0	
1LVH_A	11702.2	220	2	0	0.0	155	0.704545454545	22	0.1	0	0.0	
1M53_A	22657.4	556	1	0	0.0	366	0.658273381295	33	0.0593525179856	51	0.091726618705	
1MBB_A	16188.8	340	1	0	0.0	253	0.744117647059	17	0.05	64	0.188235294118	
1MJ9_A	15547.9	273	1	0	0.0	178	0.652014652015	8	0.029304029304	47	0.172161172161	
1MLA_A	12514.4	305	1	0	0.0	232	0.760655737705	20	0.0655737704918	24	0.0786885245902	
1MRQ_A	14612.1	323	1	0	0.0	212	0.656346749226	37	0.114551083591	10	0.030959752322	
1MUD_A	11209.3	225	1	0	0.0	145	0.644444444444	0	0.0	0	0.0	
1MUG_A	8774.6	165	1	0	0.0	107	0.648484848485	17	0.10303030303	10	0.0606060606061	
1NDH_A	14395.8	270	1	0	0.0	173	0.640740740741	30	0.111111111111	43	0.159259259259	
1NDI_A	25930.2	596	1	0	0.0	413	0.692953020134	22	0.0369127516779	56	0.0939597315436	
1NLU_A	13127.4	368	1	0	0.0	261	0.709239130435	44	0.119565217391	37	0.100543478261	
1O8A_A	23516.5	574	2	0	0.0	415	0.722996515679	5	0.00871080139373	9	0.0156794425087	
1O98_A	20044.8	509	1	0	0.0	353	0.693516699411	58	0.11394891945	19	0.0373280943026	
1OG1_A	11033.5	223	1	0	0.0	150	0.67264573991	9	0.0403587443946	30	0.134529147982	
1OGO_X	19977.6	572	1	0	0.0	384	0.671328671329	160	0.27972027972	64	0.111888111888	
1OJ4_A	13223.6	277	6	0	0.0	181	0.653429602888	6	0.0216606498195	58	0.209386281588	
1ONR_A	14035.1	316	1	0	0.0	242	0.76582278481	36	0.113924050633	2	0.00632911392405	
1OPM_A	14657.3	310	1	0	0.0	200	0.645161290323	12	0.0387096774194	118	0.38064516129	
1OXA_A	17813.2	403	1	0	0.0	284	0.704714640199	7	0.0173697270471	31	0.0769230769231	
1OYG_A	17633.8	440	1	0	0.0	288	0.654545454545	10	0.0227272727273	134	0.304545454545	
1P1X_A	10755.3	250	1	0	0.0	188	0.752	35	0.14	3	0.012	
1P3D_A	20873.3	449	15	0	0.0	314	0.699331848552	54	0.120267260579	35	0.0779510022272	
1P5D_X	17491.5	454	2	0	0.0	335	0.737885462555	44	0.0969162995595	58	0.127753303965	
1PA9_A	12390.8	279	2	0	0.0	192	0.688172043011	12	0.0430107526882	39	0.139784946237	
1PII_A	19485.5	452	1	0	0.0	347	0.767699115044	76	0.16814159292	10	0.0221238938053	
1PKN_A	23539.0	514	2	0	0.0	352	0.684824902724	56	0.108949416342	34	0.0661478599222	
1PMI_A	18638.3	440	1	0	0.0	300	0.681818181818	0	0.0	114	0.259090909091	
1PP4_A	10051.8	233	1	0	0.0	153	0.656652360515	22	0.0944206008584	8	0.0343347639485	
1PS9_A	26273.3	671	1	0	0.0	457	0.681073025335	90	0.134128166915	22	0.0327868852459	
1PTD_A	12591.8	296	1	0	0.0	191	0.64527027027	33	0.111486486486	17	0.0574324324324	
1PUD_A	15443.7	372	1	0	0.0	261	0.701612903226	30	0.0806451612903	33	0.0887096774194	
1PYL_A	6029.1	95	1	0	0.0	49	0.515789473684	5	0.0526315789474	16	0.168421052632	
1Q91_A	10593.4	194	1	0	0.0	128	0.659793814433	24	0.123711340206	2	0.0103092783505	
1QAM_A	12897.4	235	1	0	0.0	175	0.744680851064	22	0.0936170212766	20	0.0851063829787	
1QAZ_A	15061.2	351	1	0	0.0	235	0.669515669516	0	0.0	6	0.017094017094	
1QBA_A	32002.7	858	1	0	0.0	548	0.638694638695	65	0.0757575757576	98	0.114219114219	
1QFM_A	28297.6	705	6	0	0.0	477	0.676595744681	29	0.041134751773	154	0.218439716312	
1QGX_A	14789.8	354	1	0	0.0	240	0.677966101695	12	0.0338983050847	54	0.152542372881	
1QJE_A	14474.2	327	1	0	0.0	223	0.681957186544	8	0.0244648318043	57	0.174311926606	
1QK2_A	14201.8	363	1	0	0.0	245	0.674931129477	34	0.0936639118457	6	0.0165289256198	
1QWN_A	37130.7	1014	1	0	0.0	664	0.65483234714	48	0.0473372781065	207	0.204142011834	
1R1J_A	29315.0	696	1	0	0.0	507	0.728448275862	12	0.0172413793103	25	0.0359195402299	
1R44_A	9463.8	202	1	0	0.0	123	0.608910891089	5	0.0247524752475	22	0.108910891089	
1R4Z_A	8014.2	179	1	0	0.0	126	0.703910614525	30	0.167597765363	2	0.0111731843575	
1RBN_A	6933.9	124	1	0	0.0	75	0.604838709677	2	0.0161290322581	32	0.258064516129	
1RDD_A	9055.8	155	1	0	0.0	110	0.709677419355	12	0.0774193548387	21	0.135483870968	
1RU4_A	15299.2	400	1	0	0.0	264	0.66	123	0.3075	6	0.015	
1S3I_A	14935.6	307	1	0	0.0	199	0.648208469055	23	0.0749185667752	49	0.159609120521	
1S95_A	13679.7	324	1	0	0.0	212	0.654320987654	25	0.0771604938272	31	0.0956790123457	
1SCA_A	10153.0	274	1	0	0.0	189	0.689781021898	35	0.127737226277	12	0.043795620438	
1SLL_A	25542.5	679	1	0	0.0	417	0.614138438881	5	0.00736377025037	248	0.365243004418	
1SML_A	12167.4	266	1	0	0.0	177	0.665413533835	17	0.0639097744361	39	0.146616541353	
1SNZ_A	14106.0	344	1	0	0.0	238	0.691860465116	2	0.00581395348837	139	0.404069767442	
1TAH_B	12859.1	318	1	0	0.0	223	0.701257861635	28	0.0880503144654	19	0.059748427673	
1TLP_E	12897.6	316	1	0	0.0	225	0.712025316456	15	0.0474683544304	34	0.107594936709	
1U3F_A	9158.1	164	1	0	0.0	96	0.585365853659	17	0.103658536585	11	0.0670731707317	
1U5U_A	16608.9	366	1	0	0.0	235	0.642076502732	0	0.0	62	0.169398907104	
1UAS_A	13798.6	362	1	0	0.0	250	0.690607734807	31	0.085635359116	48	0.132596685083	
1UN1_A	12425.3	267	1	0	0.0	172	0.644194756554	0	0.0	93	0.348314606742	
1VID_A	9657.7	213	1	0	0.0	157	0.737089201878	24	0.112676056338	15	0.0704225352113	
1VLB_A	29956.3	907	1	0	0.0	598	0.659316427784	37	0.0407938257993	133	0.146637265711	
1VNC_A	22847.8	576	1	0	0.0	342	0.59375	4	0.00694444444444	33	0.0572916666667	
1VQ1_A	14141.8	263	5	0	0.0	175	0.665399239544	16	0.0608365019011	11	0.041825095057	
1W0H_A	10351.4	194	6	0	0.0	122	0.628865979381	12	0.0618556701031	18	0.0927835051546	
1XQW_A	12739.3	290	1	0	0.0	220	0.758620689655	28	0.0965517241379	14	0.048275862069	
1Y9M_A	19188.7	517	1	0	0.0	320	0.618955512573	7	0.0135396518375	200	0.386847195358	
1YON_A	13455.4	292	1	0	0.0	221	0.756849315068	29	0.0993150684932	20	0.0684931506849	
1YSC_A	17268.8	421	1	0	0.0	290	0.688836104513	29	0.0688836104513	30	0.0712589073634	
1ZE1_A	16239.1	308	1	0	0.0	200	0.649350649351	12	0.038961038961	75	0.243506493506	
1ZIO_A	11319.7	217	1	0	0.0	163	0.751152073733	20	0.0921658986175	11	0.0506912442396	
206L_A	8975.8	162	1	0	0.0	118	0.728395061728	0	0.0	13	0.0802469135802	
2A0N_A	11981.5	251	1	0	0.0	197	0.784860557769	43	0.171314741036	14	0.0557768924303	
2ABK_A	11064.4	211	1	0	0.0	136	0.644549763033	0	0.0	0	0.0	
2ACY_A	5894.4	98	1	0	0.0	67	0.683673469388	5	0.0510204081633	27	0.275510204082	
2AYH_A	9583.0	214	1	0	0.0	138	0.644859813084	3	0.0140186915888	93	0.434579439252	
2CPO_A	13216.9	298	1	0	0.0	160	0.536912751678	2	0.00671140939597	11	0.0369127516779	
2CPU_A	18282.5	495	1	0	0.0	316	0.638383838384	36	0.0727272727273	67	0.135353535354	
2DLN_A	13349.5	306	1	0	0.0	204	0.666666666667	16	0.0522875816993	42	0.137254901961	
2EBN_A	11959.5	285	1	0	0.0	202	0.708771929825	47	0.164912280702	18	0.0631578947368	
2ENG_A	9106.8	205	2	0	0.0	130	0.634146341463	16	0.0780487804878	37	0.180487804878	
2F61_A	18309.4	497	1	0	0.0	325	0.653923541247	49	0.0985915492958	74	0.148893360161	
2F9R_A	12910.3	285	1	0	0.0	216	0.757894736842	42	0.147368421053	9	0.0315789473684	
2NLR_A	9222.4	222	1	0	0.0	151	0.68018018018	7	0.0315315315315	89	0.400900900901	
2NMT_A	20809.7	422	1	0	0.0	281	0.665876777251	11	0.0260663507109	78	0.184834123223	
2PEC_A	13732.5	352	1	0	0.0	258	0.732954545455	112	0.318181818182	7	0.0198863636364	
2PIA_A	15951.9	321	1	0	0.0	201	0.626168224299	31	0.0965732087227	49	0.152647975078	
2PTH_A	9378.9	193	1	0	0.0	148	0.766839378238	16	0.0829015544041	19	0.0984455958549	
2SQC_A	23997.3	623	1	0	0.0	421	0.675762439807	0	0.0	18	0.0288924558587	
2THI_A	15904.7	362	1	0	0.0	242	0.668508287293	21	0.0580110497238	38	0.104972375691	
2TPS_A	10875.2	226	1	0	0.0	153	0.676991150442	35	0.154867256637	0	0.0	
5EAT_A	23124.5	532	1	0	0.0	392	0.736842105263	0	0.0	2	0.00375939849624	
7ATJ_A	13476.1	305	1	0	0.0	199	0.652459016393	0	0.0	10	0.0327868852459	
