pdb	variable	value
1BYA_A	nres	491
1BYA_A	nchains	1
1BYA_A	nssb	0
1BYA_A	asa	19543.6
1BYA_A	nhbon	344
1BYA_A	nhbps	41
1BYA_A	nhbas	13
1BYA_A	mhbe	-0.759572301426
1BYA_A	vhbe	0.212685865954
1BYA_A	mrsa	0.205206348648
1BYA_A	vrsa	0.0527922718338
1BYA_A	mwcn	1.31795230382
1BYA_A	vwcn	0.057553467208
1BZC_A	nres	297
1BZC_A	nchains	1
1BZC_A	nssb	0
1BZC_A	asa	13941.5
1BZC_A	nhbon	217
1BZC_A	nhbps	16
1BZC_A	nhbas	39
1BZC_A	mhbe	-0.797053872054
1BZC_A	vhbe	0.218221539185
1BZC_A	mrsa	0.228453701881
1BZC_A	vrsa	0.0551350043774
1BZC_A	mwcn	1.0946527162
1BZC_A	vwcn	0.0483795124121
1C82_A	nres	719
1C82_A	nchains	1
1C82_A	nssb	0
1C82_A	asa	28433.3
1C82_A	nhbon	514
1C82_A	nhbps	2
1C82_A	nhbas	157
1C82_A	mhbe	-0.807962447844
1C82_A	vhbe	0.216583852554
1C82_A	mrsa	0.197911550305
1C82_A	vrsa	0.046950208571
1C82_A	mwcn	1.45602942565
1C82_A	vwcn	0.0766270250333
1CA2_A	nres	256
1CA2_A	nchains	1
1CA2_A	nssb	0
1CA2_A	asa	11740.3
1CA2_A	nhbon	165
1CA2_A	nhbps	16
1CA2_A	nhbas	56
1CA2_A	mhbe	-0.709765625
1CA2_A	vhbe	0.227360687256
1CA2_A	mrsa	0.234700725607
1CA2_A	vrsa	0.0502445061787
1CA2_A	mwcn	1.04489055254
1CA2_A	vwcn	0.0356086301711
1CB8_A	nres	674
1CB8_A	nchains	1
1CB8_A	nssb	0
1CB8_A	asa	26385.0
1CB8_A	nhbon	486
1CB8_A	nhbps	3
1CB8_A	nhbas	169
1CB8_A	mhbe	-0.839651335312
1CB8_A	vhbe	0.221646428878
1CB8_A	mrsa	0.194385798208
1CB8_A	vrsa	0.0436628146949
1CB8_A	mwcn	1.41040182093
1CB8_A	vwcn	0.0761372024545
1CBX_A	nres	307
1CBX_A	nchains	1
1CBX_A	nssb	0
1CBX_A	asa	12249.0
1CBX_A	nhbon	203
1CBX_A	nhbps	27
1CBX_A	nhbas	17
1CBX_A	mhbe	-0.788925081433
1CBX_A	vhbe	0.230447378752
1CBX_A	mrsa	0.209089175627
1CBX_A	vrsa	0.048354419003
1CBX_A	mwcn	1.15777620211
1CBX_A	vwcn	0.0478785515661
1CDG_A	nres	686
1CDG_A	nchains	1
1CDG_A	nssb	0
1CDG_A	asa	23235.6
1CDG_A	nhbon	442
1CDG_A	nhbps	47
1CDG_A	nhbas	120
1CDG_A	mhbe	-0.762463556851
1CDG_A	vhbe	0.222000271996
1CDG_A	mrsa	0.19065325412
1CDG_A	vrsa	0.0425778634304
1CDG_A	mwcn	1.45224851178
1CDG_A	vwcn	0.0727229796642
1CEL_A	nres	433
1CEL_A	nchains	1
1CEL_A	nssb	0
1CEL_A	asa	16682.2
1CEL_A	nhbon	272
1CEL_A	nhbps	10
1CEL_A	nhbas	125
1CEL_A	mhbe	-0.728464203233
1CEL_A	vhbe	0.202115597448
1CEL_A	mrsa	0.218479491441
1CEL_A	vrsa	0.0483158123943
1CEL_A	mwcn	1.28419555714
1CEL_A	vwcn	0.0505466941534
1CHD_A	nres	198
1CHD_A	nchains	1
1CHD_A	nssb	0
1CHD_A	asa	9045.4
1CHD_A	nhbon	137
1CHD_A	nhbps	33
1CHD_A	nhbas	14
1CHD_A	mhbe	-0.812752525253
1CHD_A	vhbe	0.20760568118
1CHD_A	mrsa	0.235079478044
1CHD_A	vrsa	0.0539580376384
1CHD_A	mwcn	1.02681154075
1CHD_A	vwcn	0.0371891392159
1CHK_B	nres	238
1CHK_B	nchains	1
1CHK_B	nssb	0
1CHK_B	asa	11112.8
1CHK_B	nhbon	173
1CHK_B	nhbps	0
1CHK_B	nhbas	13
1CHK_B	mhbe	-0.841596638655
1CHK_B	vhbe	0.17719303898
1CHK_B	mrsa	0.256238917599
1CHK_B	vrsa	0.0532161937014
1CHK_B	mwcn	0.98066444917
1CHK_B	vwcn	0.025868138153
1CM0_A	nres	162
1CM0_A	nchains	1
1CM0_A	nssb	0
1CM0_A	asa	9373.5
1CM0_A	nhbon	116
1CM0_A	nhbps	5
1CM0_A	nhbas	33
1CM0_A	mhbe	-0.834722222222
1CM0_A	vhbe	0.243219521605
1CM0_A	mrsa	0.287438872225
1CM0_A	vrsa	0.0608823216222
1CM0_A	mwcn	0.861385682186
1CM0_A	vwcn	0.0291927653435
1CNS_A	nres	243
1CNS_A	nchains	1
1CNS_A	nssb	0
1CNS_A	asa	10467.7
1CNS_A	nhbon	151
1CNS_A	nhbps	0
1CNS_A	nhbas	6
1CNS_A	mhbe	-0.684979423868
1CNS_A	vhbe	0.174244546902
1CNS_A	mrsa	0.245632939038
1CNS_A	vrsa	0.0570359853967
1CNS_A	mwcn	1.03512827674
1CNS_A	vwcn	0.0393806655928
1COY_A	nres	501
1COY_A	nchains	2
1COY_A	nssb	0
1COY_A	asa	18759.1
1COY_A	nhbon	326
1COY_A	nhbps	27
1COY_A	nhbas	74
1COY_A	mhbe	-0.799351297405
1COY_A	vhbe	0.225911505333
1COY_A	mrsa	0.197252799987
1COY_A	vrsa	0.0441015484101
1COY_A	mwcn	1.36436848802
1COY_A	vwcn	0.0692615988405
1CQQ_A	nres	180
1CQQ_A	nchains	1
1CQQ_A	nssb	0
1CQQ_A	asa	8851.3
1CQQ_A	nhbon	139
1CQQ_A	nhbps	2
1CQQ_A	nhbas	75
1CQQ_A	mhbe	-0.876111111111
1CQQ_A	vhbe	0.278693209877
1CQQ_A	mrsa	0.251105421896
1CQQ_A	vrsa	0.0563270166188
1CQQ_A	mwcn	0.955485854879
1CQQ_A	vwcn	0.0353552692158
1CVR_A	nres	432
1CVR_A	nchains	1
1CVR_A	nssb	0
1CVR_A	asa	17102.5
1CVR_A	nhbon	303
1CVR_A	nhbps	50
1CVR_A	nhbas	51
1CVR_A	mhbe	-0.801967592593
1CVR_A	vhbe	0.206185364691
1CVR_A	mrsa	0.204624979525
1CVR_A	vrsa	0.0510325523104
1CVR_A	mwcn	1.27992805563
1CVR_A	vwcn	0.0601883574867
1CWY_A	nres	500
1CWY_A	nchains	1
1CWY_A	nssb	0
1CWY_A	asa	21740.7
1CWY_A	nhbon	340
1CWY_A	nhbps	32
1CWY_A	nhbas	21
1CWY_A	mhbe	-0.78825
1CWY_A	vhbe	0.1915181875
1CWY_A	mrsa	0.21631818842
1CWY_A	vrsa	0.0503734379043
1CWY_A	mwcn	1.27524632861
1CWY_A	vwcn	0.0526648769341
1CZ1_A	nres	394
1CZ1_A	nchains	1
1CZ1_A	nssb	0
1CZ1_A	asa	15570.1
1CZ1_A	nhbon	259
1CZ1_A	nhbps	38
1CZ1_A	nhbas	4
1CZ1_A	mhbe	-0.783248730964
1CZ1_A	vhbe	0.213066476204
1CZ1_A	mrsa	0.202355374486
1CZ1_A	vrsa	0.0467410460763
1CZ1_A	mwcn	1.22184189689
1CZ1_A	vwcn	0.0522330919318
1CZF_A	nres	335
1CZF_A	nchains	1
1CZF_A	nssb	0
1CZF_A	asa	12420.4
1CZF_A	nhbon	278
1CZF_A	nhbps	170
1CZF_A	nhbas	3
1CZF_A	mhbe	-0.965746268657
1CZF_A	vhbe	0.302425562486
1CZF_A	mrsa	0.206070441181
1CZF_A	vrsa	0.0430967640596
1CZF_A	mwcn	1.21703699319
1CZF_A	vwcn	0.0430263753662
1D1Q_A	nres	159
1D1Q_A	nchains	1
1D1Q_A	nssb	0
1D1Q_A	asa	8481.5
1D1Q_A	nhbon	105
1D1Q_A	nhbps	22
1D1Q_A	nhbas	0
1D1Q_A	mhbe	-0.808490566038
1D1Q_A	vhbe	0.220525394565
1D1Q_A	mrsa	0.259035039351
1D1Q_A	vrsa	0.0565914067293
1D1Q_A	mwcn	0.89161279559
1D1Q_A	vwcn	0.0334487970876
1D4C_A	nres	570
1D4C_A	nchains	1
1D4C_A	nssb	0
1D4C_A	asa	23795.3
1D4C_A	nhbon	387
1D4C_A	nhbps	27
1D4C_A	nhbas	57
1D4C_A	mhbe	-0.773070175439
1D4C_A	vhbe	0.210632240689
1D4C_A	mrsa	0.219728251199
1D4C_A	vrsa	0.0475588093491
1D4C_A	mwcn	1.37807961807
1D4C_A	vwcn	0.0840138832431
1D6O_A	nres	107
1D6O_A	nchains	1
1D6O_A	nssb	0
1D6O_A	asa	6057.4
1D6O_A	nhbon	80
1D6O_A	nhbps	0
1D6O_A	nhbas	36
1D6O_A	mhbe	-0.86308411215
1D6O_A	vhbe	0.314805441523
1D6O_A	mrsa	0.28886451174
1D6O_A	vrsa	0.0508491163896
1D6O_A	mwcn	0.757537138275
1D6O_A	vwcn	0.0159109363051
1DDJ_A	nres	247
1DDJ_A	nchains	1
1DDJ_A	nssb	0
1DDJ_A	asa	11521.0
1DDJ_A	nhbon	156
1DDJ_A	nhbps	2
1DDJ_A	nhbas	71
1DDJ_A	mhbe	-0.702024291498
1DDJ_A	vhbe	0.20767302775
1DDJ_A	mrsa	0.234587872056
1DDJ_A	vrsa	0.0528275004081
1DDJ_A	mwcn	1.08827642732
1DDJ_A	vwcn	0.0486729329888
1DGK_N	nres	898
1DGK_N	nchains	1
1DGK_N	nssb	0
1DGK_N	asa	38147.0
1DGK_N	nhbon	656
1DGK_N	nhbps	57
1DGK_N	nhbas	81
1DGK_N	mhbe	-0.882989977728
1DGK_N	vhbe	0.211122825067
1DGK_N	mrsa	0.209241509035
1DGK_N	vrsa	0.0489086876795
1DGK_N	mwcn	1.40675477159
1DGK_N	vwcn	0.0674149887715
1DGS_A	nres	581
1DGS_A	nchains	1
1DGS_A	nssb	0
1DGS_A	asa	30065.6
1DGS_A	nhbon	389
1DGS_A	nhbps	5
1DGS_A	nhbas	93
1DGS_A	mhbe	-0.697117039587
1DGS_A	vhbe	0.190904984581
1DGS_A	mrsa	0.247575632102
1DGS_A	vrsa	0.0478824860983
1DGS_A	mwcn	1.16611163355
1DGS_A	vwcn	0.0387772521941
1DIN_A	nres	232
1DIN_A	nchains	1
1DIN_A	nssb	0
1DIN_A	asa	10347.7
1DIN_A	nhbon	168
1DIN_A	nhbps	30
1DIN_A	nhbas	10
1DIN_A	mhbe	-0.867456896552
1DIN_A	vhbe	0.208698489521
1DIN_A	mrsa	0.23144602122
1DIN_A	vrsa	0.0569700221975
1DIN_A	mwcn	1.04257303316
1DIN_A	vwcn	0.038891678689
1DNP_A	nres	469
1DNP_A	nchains	1
1DNP_A	nssb	0
1DNP_A	asa	20680.2
1DNP_A	nhbon	317
1DNP_A	nhbps	23
1DNP_A	nhbas	0
1DNP_A	mhbe	-0.771801705757
1DNP_A	vhbe	0.19014168989
1DNP_A	mrsa	0.221371341689
1DNP_A	vrsa	0.0458881735759
1DNP_A	mwcn	1.22571440596
1DNP_A	vwcn	0.0484897056885
1DVE_A	nres	214
1DVE_A	nchains	1
1DVE_A	nssb	0
1DVE_A	asa	10629.1
1DVE_A	nhbon	165
1DVE_A	nhbps	0
1DVE_A	nhbas	0
1DVE_A	mhbe	-0.847663551402
1DVE_A	vhbe	0.157920942877
1DVE_A	mrsa	0.246427831519
1DVE_A	vrsa	0.0490564036399
1DVE_A	mwcn	0.960115118203
1DVE_A	vwcn	0.0241162838019
1E0C_A	nres	270
1E0C_A	nchains	2
1E0C_A	nssb	0
1E0C_A	asa	11178.3
1E0C_A	nhbon	180
1E0C_A	nhbps	30
1E0C_A	nhbas	7
1E0C_A	mhbe	-0.768703703704
1E0C_A	vhbe	0.213279801097
1E0C_A	mrsa	0.225541931124
1E0C_A	vrsa	0.0520618511423
1E0C_A	mwcn	1.08010293093
1E0C_A	vwcn	0.0455874150011
1E1A_A	nres	312
1E1A_A	nchains	1
1E1A_A	nssb	0
1E1A_A	asa	13493.7
1E1A_A	nhbon	204
1E1A_A	nhbps	5
1E1A_A	nhbas	131
1E1A_A	mhbe	-0.816426282051
1E1A_A	vhbe	0.306955738155
1E1A_A	mrsa	0.213553717178
1E1A_A	vrsa	0.0537302351709
1E1A_A	mwcn	1.20390654337
1E1A_A	vwcn	0.0644123175925
1E6E_A	nres	457
